speaker,sex,text
brummer,M,"BRUMMER
(vun rächts):
Wenn ich mich nitt drumbier, ze muess’s Narrehüss do in d’r Gejed sinn !
"
brummer,M,"BRUMMER:
Ah, do kummt jo ebber ! 
"
e_passant,M,"PASSANT:
Nein, leider nitt ! 
"
brummer,M,"BRUMMER:
Awer ’s nächscht Wirtshüss, diss dhät’r wisse !
"
e_passant,M,"PASSANT
(kummt wichtig zeruck):
Monsieur, meine Sie am End ’s Narrehüss ?
"
brummer,M,"BRUMMER:
Gewiss, diss suech ich jo!
"
e_passant,M,"PASSANT:
Ja, wo diss isch, weiss ich nämlich au nitt! 
"
brummer,M,"BRUMMER
(wietig):
Awer zyttig sinn Sie, fur’s ball ze wisse ! Na, ich wurr’s schun finde ! No will ich awer im Monsieur Nervich, wo Dokter drinne-n-isch, schun de Marsch bloose ! 
"
d_stimm_vum_e_papagei,U,"PAPEGEI:
Wo isch’s Lorele? Da, Lorele, do hesch de Zuckerle !
"
brummer,M,"BRUMMER
(luejt erum):
Wer isch denn diss?
"
d_stimm_vum_e_papagei,U,"PAPEGEI:
Lorele ! Gibb mir e Schmitzele !
"
brummer,M,"BRUMMER
(luejt am Hüss nuff):
Ah, do owe huckt jo e Papegei, wo schynnt’s in ebber furtg’flöje-n-ich ! E zü scheens Dierele ! 
"
d_stimm_vum_e_papagei,U,"PAPEGEI
(lacht):
Lorele will Kueche !
"
brummer,M,"BRUMMER:
E gelehrig’s Dierele ! Ich muess’s unbedingt fange, denn diss arm Vieh kummt jo in d’r Frejheit um! 
"
d_stimm_vum_e_papagei,U,"PAPEGEI:
Lorele, kumm ! 
"
brummer,M,"BRUMMER:
’s wär direkt e Verbreche, so e schlöj’s Dierele umkumme ze lonn ! 
"
en_arweiter,M,"ARWEITER:
Heiliché, haw ich e Durscht! 
"
brummer,M,"BRUMMER:
Dem Vöjel kann ich lang ebbs vormache ! Ah, do lejt jo e Leiter ! Jetzt bekumm ich denne Babbelfritz doch. 
"
e_gauner,M,"GAUNER
(kummt vorsichtig g’schliche unn nemmt de Huet unn de Stock vum Brummer):
M’r saat jo, ’s Geld lejt uff d’r Strooss ! Zwanzig Fränkle bekumm ich allewyll noch fur die paar Brocke ! 
"
brummer,M,"BRUMMER:
Lorele, ze kumm doch — baddabing ! d’Leiter isch ze kurz ! 
"
erster_warter,M,"1. WÄRTER
(sieht d’Leiter):
Was Dejfels, ich glabb gar, do rysst einer vun unsere Verruckte üss ! 
"
brummer,M,"BRUMMER:
Pscht ! Stille! Ich habb e Vöjel !
"
erster_warter,M,"1. WÄRTER:
(meh fur sich unn lacht)
Denne hann d’anderen-au ! 
"
brummer,M,"BRUMMER:
’s isch sicher einer üss Indie ! Awer ze briehle Sie doch nitt so! Sie verscheiche mir’ne jo schunscht !
"
erster_warter,M,"1. WÄRTER
(fur sich):
Ich kenn’ne nitt! Der isch gewiss üss d’r Abteilung II!
"
brummer,M,"BRUMMER:
Pscht! Wenn’r furtfliejt, ze-n-isch’s Ihri Schuld!
"
erster_warter,M,"1. WÄRTER:
Ach was! Do fliejt keim so g’schwind d’r Vöjel furt !
"
brummer,M,"BRUMMER:
Kenne Sie guet klettere ?
"
erster_warter,M,"1. WÄRTER:
Muess ich denn daadsächlich erscht noch Hilf dezue hole!
"
brummer,M,"BRUMMER:
Diss isch nitt neetig! Awer e längeri Leiter miehn mir hann ! Wenn ’r in dere Zytt numme nitt furtfliejt !
"
erster_warter,M,"1. WÄRTER
(lacht):
Der sitzt fescht fur syn Läbdesdaa! Wie heisse Sie eijetlich ?
"
brummer,M,"BRUMMER:
Worum? Hann Sie sich viellycht mir schun vorg’stellt ?
"
erster_warter,M,"1. WÄRTER:
Numme nitt uffreje, liewer Frind ! Üss wellere Abteilung sinn Sie, odder hann Sie Separat-Pension?
"
brummer,M,"BRUMMER:
Abteilung ? Pension ? Was welle Sie eijetlich vun mir ? Ich habb doch e Vöjel, wo ...
"
erster_warter,M,"1. WÄRTER:
Nadierlich, schunscht wäre Sie jo nitt do! 
"
brummer,M,"BRUMMER:
Was? Üssgebroche ? Wer ? Ich ? Fur was halte Sie mich denn ?
"
erster_warter,M,"1. WÄRTER:
Halte? Diss sieht m’r au so! Also los unn kein langi Plän gemacht ! 
"
brummer,M,"BRUMMER
(iwerdem verzwyfelt, iwerlütt):
Hilf! M’r will e Verbreche-n-an mir begehn ! Hilf ! 
"
euphrosine_bendele,F,"EUPHROSINE
(in Huet unn Mantel ; uffgerejt vun rächts):
Dü liewer Gott, myn Papegei, myn lieb’s Lorele, isch mir furtg’flöje ! 
"
d_stimm_vum_e_papagei,U,"PAPEGEI:
’s Lorele will liewer Zucker !
"
euphrosine_bendele,F,"EUPHROSINE:
Herrjeh, diss isch jo d’Stimm vun mym Papegei ! Wo isch’r denn ? Ah, do owe-n-uff’m Dach ! 
"
d_stimm_vum_e_papagei,U,"PAPEGEI
(lacht):
Was b’sinne-n-Ihr Ejch, Ihr Männer ?
"
euphrosine_bendele,F,"EUPHROSINE:
Er will nitt ! Ich muess partout uff’s Dach vun dem Hüss ! No kann ich myn Lorele sälwer fange
"
brummer,M,"BRUMMER
(als wietiger):
Was fallt Ihnne yn, mich do in e Narrehüss ynzesperre ! Ich bin doch nitt verruckt !
"
erster_warter,M,"1. WÄRTER:
Diss saawe-n-alli, wo dohinne loschiere !
"
brummer,M,"BRUMMER:
Ich habb allerdings dohere gewellt, awer . . .
"
erster_warter,M,"1. WÄRTER:
Sie hann jo jetzt Ihre Wille!
"
brummer,M,"BRUMMER:
Ich bin e Bekannter vum Dokter Nervich !
"
erster_warter,M,"1. WÄRTER:
Diss kann schun stimme !
"
brummer,M,"BRUMMER
(nemmt e Stuehl unn geht mit im 1. Wärter ze Lyeb):
Wenn Sie meine, ass ich verruckt bin, ze sinn Sie verruckt !
"
erster_warter,M,"1. WÄRTER:
Jetzt wurd’r rabiat! Na, e gueti Kaltwasserdüsch macht’ne schun zahm ! 
"
brummer,M,"BRUMMER
(iwerdem):
Lonn mich doch gehn ! Hilf ! ’s isch jo numme d’r Vöjel dran schuld !
"
erster_warter,M,"1. WÄRTER:
Grad waje dem ! 
"
nervich_paul,M,"NERVICH:
Was isch denn do fur e Krach ?
"
erster_warter,M,"1. WÄRTER:
Ich habb grad e Verruckter yng’fange, wo hett welle üssrysse, Herr Dokter ! Ich habb’ne-n-einschtwylle dort nyng’sperrt !
"
nervich_paul,M,"NERVICH:
Ich weiss’s ! Grad isch mir g’saat worre, ass in d’r Abteilung II vum Professer Zawlich einer fählt ! D’r Herr Professer kummt awer erscht denne-n-Oowe widder — na, m’r b’halte no halt denne Patient so lang by uns!
"
erster_warter,M,"1. WÄRTER:
Wurd gemacht, Monsieur Nervich !
"
nervich_paul,M,"NERVICH:
Ah, noch ebbs ! Saawe Sie doch dem neje Wärter, wo hytt yng’stellt isch worre, äss’r sich by mir vorstelle soll! Er kann mir no au glych denne do drinne vorfiehre. 
"
erster_warter,M,"1. WÄRTER:
Ja, Herr Dokter ! 
"
nervich_paul,M,"NERVICH:
`s wundert mich doch, ass ich als noch kein Antwort habb vum Octavie syn Babbe ! Ich glabb awer, ass diss e guet’s Zeiche-n-isch, denn was lang währt, wurd endlich guet! Ah, schier hätt ich’s vergesse, ass’s Octavie mir jo denne Middaa e Visit will mache! 
"
zweiter_warter,M,"2. WÄRTER:
Was beliebt, Herr Dokter ?
"
