drama_type,speaker,sex,job,social_class,text
comedy,Frisch,M,office_worker,lower_class,"Frisch :
(liest Zeitung)
"
comedy,Dindeschlecker,M,office_worker,lower_middle_class,"Dindeschlecker :
(rechnet eifrig.)
"
comedy,Frei,M,office_worker,lower_class,"Frei :
(starrt in die Luft und trämut ; das Schweigen dauert etwa eine Minute, fällt schliesslich
            Frei auf ; er beugt den Kopf leicht um den Aufsatz seines Pultes herum, gewahrt das Idyll, nimmt eine
            Zitronen- oder Orangenschale und wirft sie über das Pult Dindeschleckers hinweg, auf Frisch's
            Zeitung. Worauf er eifriges Schreiben markiert.)
"
comedy,Frisch,M,office_worker,lower_class,"Frisch :
(fährt auf)
Ninevierzig noch emol ! Jetz stecke mr emol die Fisik uff, Babbe Dindeschlecker ! Nit emol riehwig
            sinne Zitung lase ka mr im Dienscht ! 
            
"
comedy,Dindeschlecker,M,office_worker,lower_middle_class,"Dindeschlecker :
(gemütlich)
Allons, allons ! 
            
"
comedy,Frei,M,office_worker,lower_class,"Frei :
(nimmt eine weitere Schale und wirft sie an die Zimmerdecke, derart, dass sie zurückfallend
            auf Dindeschleckers Arbeit fällt.)
"
comedy,Dindeschlecker,M,office_worker,lower_middle_class,"Dindeschlecker :
(gemütlich)
Allons, allons, Herr Frisch, wenn Sie's salwer nit verputze kenne, wurum warfe Sie mir so Dings a!
            
            
"
comedy,Frisch,M,office_worker,lower_class,"Frisch :
Was? Ich?
"
comedy,Dindeschlecker,M,office_worker,lower_middle_class,"Dindeschlecker :
Wer sunscht denn ?
"
comedy,Frei,M,office_worker,lower_class,"Frei :
Am And gar ich, hm ?
"
comedy,Frisch,M,office_worker,lower_class,"Frisch :
Egal wer ! Ich will minne Rüehj ha! Einer von Euich isch's sicher, wu so Fisik tribt ; wenn's jetz
            nit uffheert, pack i eifach dr eint un verhaui dr ander drmit, drno isch dr Richtig scho drbi, soviel
            weiss i drno wenigschtens.
"
