drama_type,speaker,sex,job,social_class,text
comedy,Lissel,F,,,"Lissel:
voilà, loon 's Uch gschmecke, Andrees 
            
"
comedy,Andrees Bottjuckel,M,night_watchman,lower_class,"Andrees:
(wehrt leicht ab)
— 's räicht, Lissel, 's räicht! — Wäisch, so genäuej nimmt's Uenseräiner doch juscht nit grood am
            e Feschtdäuej! — 
            
"
comedy,Lissel,F,,,"Lissel:
De Franzose höön m'r's ze v'rdanke.
"
comedy,Andrees Bottjuckel,M,night_watchman,lower_class,"Andrees:
Vive la France! — Lissel, ich könnt grood hyle vor lütter Fräid!
"
comedy,Lissel,F,,,"Lissel:
Ich kann's guet v'rstehn, Andrees.
"
comedy,Andrees Bottjuckel,M,night_watchman,lower_class,"Andrees:
Nee, Mäide, dies v'rstehsch Dü juschtemand lang nit so wie Uenseräiner. Do mueß m'r anno 71 d'rbie
            sin gewahn un mueß gsahne höön, wie d'Franzose ze Strooßburri nüsgezöije sin — — — 
            
"
comedy,Lissel,F,,,"Lissel:
Kalmiere-n-Uch, Andrees. D'Franzose sin jo jetz wied'r do.
"
comedy,Andrees Bottjuckel,M,night_watchman,lower_class,"Andrees:
Gott sej Dank, Lissel, Gott sej Dank! 
            
"
comedy,Andrees Bottjuckel,M,night_watchman,lower_class,"Andrees:
(blitzt wieder rasch in die Höhe und salutiert stramm)
Guete-n-Owe Harr Brandmäischter!
"
comedy,Schorsch Peterhänsel,M,firefighter_director,lower_middle_class,"Schorsch:
(jovial)
— Guete-n-Owe Andrees. — Au schun do?
"
comedy,Andrees Bottjuckel,M,night_watchman,lower_class,"Andrees:
(salutiert)
— Ja, Harr Brandmäischter.
"
comedy,Schorsch Peterhänsel,M,firefighter_director,lower_middle_class,"Schorsch:
Raacht so, Andrees, raacht so. — Setze-n-Uch numme. — Aha, un öijeri nöj Dienschtkapp höön'r äu
            schun uff?
"
comedy,Andrees Bottjuckel,M,night_watchman,lower_class,"Andrees:
(salutiert)
— M'r sin jo jetz franzeesch, Harr Brandmäischter.
"
comedy,Schorsch Peterhänsel,M,firefighter_director,lower_middle_class,"Schorsch:
(lächelnd.)
— Raacht so, Andrees, raacht so.
"
comedy,Daniel Wendling,M,taverner/innkeeper,lower_middle_class,"Daniel:
(hinter dem Bierausschank.)
— Uff dane Momant het'r schun lang gewoort. Galte, Andrees?
"
comedy,Andrees Bottjuckel,M,night_watchman,lower_class,"Andrees:
Jo wajer.
"
comedy,Schorsch Peterhänsel,M,firefighter_director,lower_middle_class,"Schorsch:
Aw'r mit ere Engelsgeduld, galte, Andrees?
"
comedy,Andrees Bottjuckel,M,night_watchman,lower_class,"Andrees:
(salutiert.)
— In de letschte Johre nimmi, Harr Brandmäischter, denn do hawi d'Stung nimmi v'rwoorte könne,
            Harr Brandmäischter — — — —
"
comedy,Lissel,F,,,"Lissel:
(drückt Andrees auf die Bank nieder.)
— Bliewe doch emol sitze, Andrees, m'r sin jo jetz franzeesch!
"
comedy,Daniel Wendling,M,taverner/innkeeper,lower_middle_class,"Daniel:
Zall mäin ich doch äu. Dar prejßisch Mode mueß emol v'rschwinde.
"
comedy,Schorsch Peterhänsel,M,firefighter_director,lower_middle_class,"Schorsch:
Raacht so! — M'r het dies prejßische Kasarne-Trarifari ingfiehre muehn un het halt no so
            gezwungener Wies mitgemaacht, aw'r jetz heert's wied'r uff! — Lissel, schenk im Andrees noch e
            Glaasel ing.
"
comedy,Daniel Wendling,M,taverner/innkeeper,lower_middle_class,"Daniel:
(hinter dem Bierausschank ; lachend.)
— Aw'r Andrees!
"
comedy,Andrees Bottjuckel,M,night_watchman,lower_class,"Andrees:
Ich maach jo e franzeescher Salü! — Het m'r nit lang genuej druff woorte muehn?! — Siewenevierzig
            Johr, ihr Manner, siewenevierzig Johr!
"
comedy,Schorsch Peterhänsel,M,firefighter_director,lower_middle_class,"Schorsch:
Na, no loon'm die Plasier.
"
comedy,Lissel,F,,,"Lissel:
Trinke doch jetz emol laar, Andrees.
"
comedy,Andrees Bottjuckel,M,night_watchman,lower_class,"Andrees:
(salutiert.)
— oui, mademoiselle!
"
comedy,Lissel,F,,,"Lissel:
Loon m'r die Däubhäite ewack, un trinke.
"
comedy,Andrees Bottjuckel,M,night_watchman,lower_class,"Andrees:
Däubhäite?! — Do v'rstehn ihr Wybslytt halt nix devun.
"
comedy,Lissel,F,,,"Lissel:
Mientwaje! 
            
"
comedy,Schorsch Peterhänsel,M,firefighter_director,lower_middle_class,"Schorsch:
Also mit'm Asse stimmt's?! — Grümbeeresalot — — —
"
