speaker,sex,text
auguste,MALE,"Auguste
(misst und schaut nach dem Metermass):
Sagittalumfang, fünfunddreissig Centimeter. Stimmt ganz genau mit d’r Uffzeichnung, wie m’r ’s letscht schun gemacht han.
"
ehrstein,MALE,"Ehrstein
(notierend):
Sagittalumfang, fünfunddreissig Centimeter.
"
auguste,MALE,"Auguste
(steckt das Metermass ein und zieht aus der hinteren Tasche seines Gehrockes ein Metermass hervor, wie es von den Schuhmachern beim Massnehmen der Schuhe benützt wird):
Jetzt welle m’r doch noch emol d’Breite nochmesse, m’r kann nit exakt genue sin, wäje de Berechnunge. 
"
auguste,MALE,"Auguste
(genau das Mass ablesend):
Breite, vierzehn Komma sieben.
"
ehrstein,MALE,"Ehrstein
(notierend):
Breite, vierzehn Komma sieben.
"
auguste,MALE,"Auguste:
M’r kann saaue, was m’r will, die anthropologisch Wisseschaft isch eini vun de-n-interessantschte, wie’s giebt.
"
jeannette,FEMALE,"Jeannette:
"
lisa,FEMALE,"Lisa:
E grossi Fraid wurd d’r 
"
auguste,MALE,"Auguste:
Fraid hin oder Fraid here. In d’r Wisseschaft kann m’r uff so Kleinigkeite kenn Rucksicht nemme. — So unn jetzt welle m’r noch emol genau d’Länge revidiere. 
"
ehrstein,MALE,"Ehrstein
(notierend):
Länge, sechzehn Komma zwei.
"
auguste,MALE,"Auguste:
So, nun jetzt noch d'Jochbreite .. 
"
fritz_grinsinger,MALE,"Fritz Grinsinger
(tritt durch die Mitteltüre ein. Er trägt Reisekostüm, und hat eine leichte Reisetasche in der Hand. Er bleibt einen Augenblick still stehen):
"
jeannette,FEMALE,"Jeannette
(auf Fritz 
"
auguste,MALE,"Auguste:
"
ehrstein,MALE,"Ehrstein
Jochbreite, zwölf Komma vier Centimeter.
(notierend)
"
auguste,MALE,"Auguste
(auf Fritz 
"
lisa,FEMALE,"Lisa
(nachdem sie ihren Papa umarmt hat):
Wie kummts 
"
