speaker,sex,text
ropfer,MALE,"Ropfer:
In ere halwe Stund könne-n-’r Ejeri Arzneje hole, Vater
        Chrischtel.
"
chrischtenatz,MALE,"Chrischtenatz:
Jo, Herr Ropfer, „merci“ Herr Ropfer. 
"
ropfer,MALE,"Ropfer
(zu Jules):
Monsieur Jules, mache Sie die zwei Rezepter glich. 
"
jules,MALE,"Jules:
„Oui, patron“. 
"
jeanne,FEMALE,"Jeanne
(hübsches, junges Mädchen):
Papa, d’Mamme losst fröuje, worum d’r
        Schampetiss denn nit nuffkummt, um d’Köffer erunterzehole ?
"
ammej,FEMALE,"Ammej
(Typus einer Waschfrau: stark komisches Aussehen):
Herr, d’ Madam
        losst fröuje, wo d’r Schampetiss blieht?
"
ropfer,MALE,"Ropfer:
Ei, ich hab ...
"
emilie,FEMALE,"Madame Ropfer
(hastig von links; sie trägt eine Brille und macht einen
        scharfen Eindruck):
Wo isch denn d’r Schampetiss? Hawich d’r nit schun vor ere Stund g’saat,
        dü sollsch m’r de Schampetiss nuffschicke, wenn die Köffer gepackt sin?!
"
ropfer,MALE,"Ropfer:
Numme nit so gejäscht! Do hätte-n-’r jetzt nit ze dritt d’rwäje
        kumme brüche, ’s isch noch alli Zytt, ich hab de Schampetiss numme furtg’schickt, e
        Arznej, wie arig pressiert het, zuem Ochsewirth traue.
"
emilie,FEMALE,"Madame Ropfer:
Ob m’r schun emol so ebbs erlebt hett?! — In ere Stund
        welle m’r uff Bade-Bade verreise, ’s Jeanne un ich, d’Köffer solle-n-an de Isebahn, un m’r
        schickt de „domestique“ furt, Kummissione mache!
"
ropfer,MALE,"Ropfer
"
ammej,FEMALE,"Ammej:
Ja, Herr, ich läuf, awer z’erscht muesch hesch! Wenn’r noch dort
        isch! 
"
emilie,FEMALE,"Madame Ropfer:
Nee so e Mann! Nee so e Mann!
"
jeanne,FEMALE,"Jeanne:
„Mais maman!“
"
ropfer,MALE,"Ropfer:
Ze jäscht doch nit eso; sin d’Köffer uewerhaupt schun fertig
        gepackt?
"
emilie,FEMALE,"Madame Ropfer:
Nein, noch nit ganz, m’r han eine wieder üspacke muehn,
        „mais c’est l’affaire d’une minute“. 
"
jeanne,FEMALE,"Jeanne:
„Oui maman!“ 
"
ropfer,MALE,"Ropfer:
„Eh bien, c’est aussi l’affaire d’une minute“, un d’r
        Schampetiss wär do gsin, au ohne dass ich ne durich sini Frau hätt hole lon.
"
