drama_type,speaker,sex,job,social_class,text
unknown,EDI,M,,,"Er.

            
"
unknown,JETTELE,F,,,"Sie.

            
"
unknown,group,sex_unknown,job_unknown,social_class_unknown,"Mitnander.

            
"
unknown,EDI,M,,,"Er.

            
"
unknown,JETTELE,F,,,"Sie.

            
"
unknown,group,sex_unknown,job_unknown,social_class_unknown,"Mitnander.

            
"
unknown,EDI,M,,,"Er.

            
"
unknown,group,sex_unknown,job_unknown,social_class_unknown,"Mitnander.

            
"
unknown,EDI,M,,,"Er.

            
"
unknown,group,sex_unknown,job_unknown,social_class_unknown,"Mitnander.

            
"
unknown,Herr SCHNELL,M,,,"Herr Schnell.
Jetz, Franz, wo si mr?... ich glaüb, mr känne dr
                        Robinson spiele, denn 's schint mr e-n-Insle z'si, wo
                        Nieme druf isch... jetz stecke mr in schöne Schüeh!...
                    
"
unknown,FRANZ,M,,,"Franz.
In nasse stecke mr uf jedefall... isch jetz das fatal,
                    
eso Schiffbruch z'lide mittle-n-uf em Meer!...
"
unknown,Herr SCHNELL,M,,,"Herr Schnell.
Natirlig uf em Meer... d'heim in dr Stuwe kasch alleweg
                        nitt Schiffbruch lide!...
                    
"
unknown,FRANZ,M,,,"Franz.
Worum si mr awer o furt vo d'heim! Worum hà mr welle Di
                        Tochter, mi Cüsine, wo mit ihrem Liebhawer uf un
                        dervo isch, geh süeche in Amerika... jetz hà mr's...
                        oh! we mr doch nur wieder z'Milhüse wàre in dr
                        Fröscheweid!
                    
"
unknown,Herr SCHNELL,M,,,"Herr Schnell.
Bisch Dü nitt o vo dr Familie?... geht's Dich nitt a wie
                        mich, wenn Ihre-n-Ehr in G'fohr isch... un Dü
                        hättsch doch Di alter Oncle nitt welle-n-allei geh
                        lo...
                    
"
unknown,FRANZ,M,,,"Franz.
Mir hätte jo mitnander känne d'heim bliwe... wer weisst,
                        wo 's Jettele ane-n-isch mit sim Edi...
                    
"
unknown,Herr SCHNELL,M,,,"Herr Schnell.
Nach Amerika sin se!... De weisch jo, ass me se g'sàh
                        hat ischiffe vor drei Monet... wenn ich's awer
                        g'wisst hätt, so wàr ich eher furt... De weisch, wenn
                        ich ebbes im Kopf ha, so müess es gli g'macht si!
                    
"
unknown,FRANZ,M,,,"Franz.
's hat is viel g'nutzt jetz, ass mr furt sin...
"
