,drama_type,speaker,sex,job,job_category,social_class,text,short_name
0,comedy,Marie,F,cook,service_and_sales,,"
          
Marie

          
(rechts bi dr Thüre vom zweite Plan rieft üse)

          
Mache-n-ass Ihr jetz emol furt kämme, Schlüch!...

          
Gott, wie thüet mich dà Mensch efange-n-agaciere!...

          
Güet, jetz thüet er si schwarze Nase noch in mi hintere
                        Kochhafe stosse... höre-n-Ihr denn nitt, ass dr Herr
                        dert in sim Zimmer isch un sich alegt... fahre-n-ab
                        jetz, nitt ass er I hit scho wieder do atrifft, er ka
                        wohl denke, ass mi Kàmi nitt alle Tag z'putze-n-isch...

        
",lustig-d-singstund
1,comedy,Herr TANNEZAPFE,M,,,,"
          
Herr Tannezapfe

          
(voruse, links)

          
Marie!...

        
",lustig-d-singstund
2,comedy,Marie,F,cook,service_and_sales,,"
          
Marie.

          
Höre-n'-r!... dr Herr, wo mr rieft...
(antwortet)

          
Was b'liebt, Herr?

        
",lustig-d-singstund
3,comedy,Herr TANNEZAPFE,M,,,,"
          
Herr Tannezapfe

          
(voruse)

          
Wo hasch mine Hosetràger ane tho?

        
",lustig-d-singstund
4,comedy,Marie,F,cook,service_and_sales,,"
          
Marie.

          
Ihre Hosetràger, Herr...
(fir sich)
 sine Hosetràger wo
                        känne jetz sine Hosetràger si?
(lüt)
 Aha, se sin 
in dr
                        Zuckerbichse, Herr...
(wàhrend ass se antwortet' links,
                        kunnt dr Schlüch ine, rechts, zweiter Plan, un hat in
                        jeder Hand e Kochläffel un schlàckt se-n-ab)
 So! jetz
                        versüecht er noch mine Sauce... Wenn dr Herr Tannezapfe
                        das thàt sàh...

        
",lustig-d-singstund
5,comedy,Herr SCHLÜCH,M,,,,"
          
Schlüch.

          
Eüer Herr, Marie, Eüer Herr Tannebibele.

        
",lustig-d-singstund
6,comedy,Marie,F,cook,service_and_sales,,"
          
Marie.

          
Zapfe...

        
",lustig-d-singstund
7,comedy,Herr SCHLÜCH,M,,,,"
          
Schlüch.

          
Eüer Zapfe, das isch mir doch eithüen, wo-n-Ihr alles
                        mit em mache, was Ihr wànn... er hat jo ne kurz
                        G'sicht, Ihr sage-n-em, ich sei's Wiehnàchtskindle,
                        wenn er kunnt, awer er isch jo erst an de Hosetràger, i
                        ha dr Zit... nur noch e Wort, Marie...

        
",lustig-d-singstund
8,comedy,Marie,F,cook,service_and_sales,,"
          
Marie.

          
Awer gschwind e wenig!...

        
",lustig-d-singstund
9,comedy,Herr SCHLÜCH,M,,,,"
          
Schlüch.

          
Grad ha-n-i d'Kuche ne wenig g'mustert, als Kàmifeger
                        ha-n-i 's Fir untersüecht... awer als Mensch wott i
                        gern wisse, was dert hinte ne so güet's druf brotet?...

        
",lustig-d-singstund
10,comedy,Marie,F,cook,service_and_sales,,"
          
Marie.

          
'isch e welscher Hahne...

        
",lustig-d-singstund
11,comedy,Herr SCHLÜCH,M,,,,"
          
Schlüch.

          
Kännt' ich em nitt e wenig Milhüserditsch lehre im Platz
                        vo Eürem Herr?...

        
",lustig-d-singstund
12,comedy,Marie,F,cook,service_and_sales,,"
          
Marie.

          
Awer Schlüch! Ihr sin doch züe àrg verfresse!...

        
",lustig-d-singstund
13,comedy,Herr SCHLÜCH,M,,,,"
          
Schlüch.

          
I müess es gsteh... Pardon, noch ebbes...

        
",lustig-d-singstund
14,comedy,Marie,F,cook,service_and_sales,,"
          
Marie.

          
G'schwind, g'schwind, g'schwind.

        
",lustig-d-singstund
15,comedy,Herr SCHLÜCH,M,,,,"
          
Schlüch.

          
I ha ebbes versüecht, wo dert mischotiert im e Hafe uf
                        em Ofe, was mag das si?

        
",lustig-d-singstund
16,comedy,Marie,F,cook,service_and_sales,,"
          
Marie.

          
Ah! un wie finde-n-ihr das Ding?

        
",lustig-d-singstund
17,comedy,Herr SCHLÜCH,M,,,,"
          
Schlüch.

          
Fin, delizios!...

        
",lustig-d-singstund
18,comedy,Marie,F,cook,service_and_sales,,"
          
Marie

          
Das isch Caout wie dr Kückücks sàit em doch dr Herr
                        wieder? Caout... Caout...

        
",lustig-d-singstund
19,comedy,Herr SCHLÜCH,M,,,,"
          
Schlüch.

          
Chouc... Caoutchouc...

        
",lustig-d-singstund
20,comedy,Marie,F,cook,service_and_sales,,"
          
Marie.

          
Jo, i glaüb; der Herr hat das Ding kaüft.

        
",lustig-d-singstund
21,comedy,Herr SCHLÜCH,M,,,,"
          
Schlüch

          
(mit Verwunderung)

          
Ne Caoutchouc-Suppe?...

        
",lustig-d-singstund
22,comedy,Marie,F,cook,service_and_sales,,"
          
Marie.

          
Dr Herr sàit, 's thàt eim feist mache... Das wàr nit fir
                        Eüch, Schlüch, Ihr kännte sunscht nimm in d'Löcher
                        schlupfe!...

        
",lustig-d-singstund
23,comedy,Herr SCHLÜCH,M,,,,"
          
Schlüch.

          
's isch doch sunderbar, was me-n-efange mit em
                        Caoutchouc macht!....

          

            
G'sang

            
(Madame Angot)

            
Mit Caoutchouc ka me mache,

            
Was d'Aüge nur wànn sàh,

            
Nitt nur allei Spielsache

            
Ka-n-er de Kinder gà,

            

            
Make sich omit kleide noch,

            
Me macht Strumpfbàndel mit,

            
Un sunst so Dings, das alles doch

            
Isch g'macht vo Caoutchouc hit!

            
Un die Sache alle z'sàmmme 
(bis)

            
We me se nimm brüche thüet,

            
Ka me jetz in d'Kuche nàmme,

            
's isch noch fir dr Hunger güet.

          

        
",lustig-d-singstund
24,comedy,Marie,F,cook,service_and_sales,,"
          
Marie

          
(nimmt 'm sine Läffel)

          
Zeige, fahre-n-ab jetz in d'Halle, Ihr kämme wieder,
                        wenn dr Herr furt isch...

        
",lustig-d-singstund
25,comedy,Herr SCHLÜCH,M,,,,"
          
Schlüch.

          
Geht er furt?

        
",lustig-d-singstund
