drama_type,speaker,sex,job,social_class,text
unknown,Madame FRISCH,F,,,"Madame Frisch
(kunnt ine mit ere Postkarte)
So!... jetz schribt mir grad mi Oncle do vo Colmer, ass
                        er uf hie kunnt un bi mir will ku z'Nacht esse... grad
                        jetz, hit, wo-n-ich Gäst ha... ich mächt ewe hit z'Owe
                        mi Züekünftiger, dr Herr Ledig, in dr G'sellschaft
                        vorstelle un ha's ig'richtet g'ha, ass mr grad zwölf
                        gsi wàre am Tisch... kunnt awer mi Oncle, so si mr
                        drizehne... me meint grad, er macht's express!... un
                        züedem isch's e-n-Original, mi Oncle... er hat allewil
                        ganz andere-n-Idee as andre Lit... wenn ich en ig'lade
                        hätt, so wàr er sicher nitt ku... was isch jetz
                        z'mache?... ich ka doch Nieme furtschicke un will's o
                        in Nieme sage, sunscht thàte se mich üslache... un
                        drizehne will ich durchüs nitt, ass mr sin... unter
                        keine Umstànde, 's mag geh wie's will, derf das meh
                        g'schàh... ich thàt eher dr erste beste Bettler derzüe
                        riefe!... 's isch mr nur emol vorku un gli druf isch mi
                        Mann selig g'storwe... ich will nitt, ass es mir noch
                        emol eso geht, wenn ich derno küm wieder g'hirothe
                        bi!...
                    

            
Ich sieh nit anders as ich müess im Herr Ledig
                            Hàndel süeche, fir ass er blàit un nitt bim Esse
                            blibt... nochher versöhne mir uns wieder
                            mitnander... ich stell ne halt derno ne-n-andermol
                            vor... ich will das Ding scho arrangiere, er isch e
                            wenig e Hitzkopf, awer sunscht e ganz güeter
                            Mensch, wo um's ummelüege wieder alles vergesse
                            hat... doch still, do kunnt er glaüb grad!
                        
"
unknown,Herr LEDIG,M,,,"Herr Ledig
(kunnt hinte-ine)
Eh, güete-n-Owe, Madame Frisch!... ich frog nitt no
                        Ihrer G'sundheit... Sie kännt doch sicher kei besserer
                        Name ha!...
"
unknown,Madame FRISCH,F,,,"Madame Frisch.
Sie hätte ne sotte si, vo rechtswege... awer lüege
                        Se-n-emol in dr Garte...
                    
"
unknown,Herr LEDIG,M,,,"Herr Ledig
(geht an's Fenster)
Tiens,'s sin scho andere Gast do... verzeiht Se mr,
                        Madame Frisch... ich ha halt noch G'schàfte g'ha...
                    
"
unknown,Madame FRISCH,F,,,"Madame Frisch
(trotzig)
Ich mein doch, ass we me-n-ebber gern hat un uf em Punkt
                        isch z'hirothe, ass die Person vor de G'schàfte geht!
                    

            
"
unknown,Madame FRISCH,F,,,"
              
"
unknown,Herr LEDIG,M,,,"Herr Ledig.

              
"
unknown,Herr LEDIG,M,,,"Herr Ledig.
Ich bi awer o ungeduldig gsi un ha mi dummelt... un
                        derno, 's isch jo no nitt spot
"
unknown,Madame FRISCH,F,,,"Madame Frisch
(kalt)
So isch's halt allewil mit dàne Mànner... d'G'schàfte,
                        die gehn allewil vor... wenn Sie denn eso dra halte an
                        Ihre G'schàfte, worum sin Sie nitt gli dra bliwe!...
                    
"
unknown,Herr LEDIG,M,,,"Herr Ledig
(fir sich)
Ah so!... tiens, tiens!...
"
unknown,Madame FRISCH,F,,,"Madame Frisch
(allei)
Dà güete Herr Ledig!... ich mächt grad grine!... ich
                        ha's schier nitt iwer's Herz brocht... awer 's isch 
"
unknown,Herr FLINK,M,,,"Herr Flink
(kunnt hinte-n-ine mit em Herr Krach)
Aha!... do isch se jo, mi liewe Nièce, Nundebuckel noch
                        emol!
"
unknown,Herr KRACH,M,,,"Herr Krach.
Was uf jedefall e grosse-n-Ehr wird si fir mich...
"
unknown,Madame FRISCH,F,,,"Madame Frisch
(fir sich)
Oh sapristi!... jetz si mr scho wieder drizehne!... ich
                        'will gli dr Herr Ledig wieder lo z'ruckriefe, ass mr
                        vierzehne sin.
"
unknown,Herr FLINK,M,,,"Herr Flink
(züem Herr Krach)
Was isch... wie g'fallt se ne?... nitt wohr, ich ha se
                        nitt z'viel g'riehmt?... das git e pràchtige Fraü fir
                        Sie!... Nundebuckel noch emol!
                    
"
unknown,Herr KRACH,M,,,"Herr Krach.
Ich find se, ganz güet... awer sin Se sicher, ass sie
                        mich grad will?... was isch das fir e Herr, wo mir
                        atroffe hàn vorig, un wo grad vo do ku isch?
                    
"
unknown,Herr FLINK,M,,,"Herr Flink.
Hàn Se-n-ebbe scho Angst, 's isch e Rival?... lehn Se
                        mich nur mache... do isch se jetz wieder!
                    
"
unknown,Madame FRISCH,F,,,"Madame Frisch
(fir sich)
Ich ha-n-em d'Magd nog'schickt... er ka no nitt wit
                        si...
"
unknown,Herr FLINK,M,,,"Herr Flink.
Was witt halt... Dü weisch, wie-n-ich mit Arwet iwerlade
                        bi 's ganze Johr un wie ungern as ich mich deplaciere
                        thüe... dasmol isch's jetz üs ere ganz
                        b'sundere-n-Ursach, wo Dü jetz glich erfahre sollsch...
                    
"
unknown,Herr KRACH,M,,,"Herr Krach
(bim Fenster)
Erlaüwe Se, ass ich siter in Garte-n-awe gang, derwilst
                        as Sie schwàtze mitnander... ich glaüb ohnedem, ass ich
                        dert züefàlligerwis e-n-alte Bekanntschaft erkennt ha,
                        wo-n-ich gar nitt denkt hätt do az'treffe... Sie
                        excüsiere mich, nitt wohr
"
unknown,Herr FLINK,M,,,"Ferr Flink.
Vor allem mächt ich Dich jetz froge, wie Dir dà Herr
                        g'fallt... güet, nitt wohr?... De weisch, ass ich nitt
                        d'G'wohnet ha, lang hinte-n-umme z'fahre... dr Herr
                        Krach isch in alle Sticke ne charmanter junger Mann...
                        er trittet jetz in mi G'schàft i un wird's sogar später
                        wohrschinlig ganz iwernàmme... also ne güete Parthie,
                        Nundebuckel noch emoll... was meinsch, wàr das nitt eso
                        ne-Mànnle fir Dich?
                    
"
unknown,Madame FRISCH,F,,,"Madame Frisch
(lacht)
's isch wohr, Oncle, Dü fahrsch nitt lang
                        hinte-n-umme... das heisst me jetz emol eim e Mann
                        atràit uf dr Extrapost...
                    

            
"
unknown,Madame FRISCH,F,,,"
              
"
unknown,Herr FLINK,M,,,"Herr Flink.

              
"
unknown,Herr FLINK,M,,,"Herr Flink.
De weisch, ich bi allewil eso gsi... wenn ich emol ebbes
                        im Kopf g'ha ha, so hat's gli miesse dure, Nunde...
                    
"
unknown,Madame FRISCH,F,,,"Madame Frisch
(unterbricht ne)
Eh bien, los, Oncle, ich sag Dr d'Antwort am
                        Nachtesse... ich bi froh, ass De ku bisch...
                    
"
unknown,Herr FLINK,M,,,"Herr Flink.
Nix do... uf dr Stell müess ich's wisse... wenn Dü-n-en
                        ung'fàhr nitt witt, so ka-n-er nitt dobliwe am Esse...
                        er müess aügeblicklig wieder furt... mr hàn in dem
                        Moment pressante G'schàfte z'b'sorge... nur fir sich
                        z'verlowe wàr dr Grund wichtig g'nüe gsi, fir sich e
                        paar Stund ufz'halte, anderscht nitt... un derno wird
                        er wohrschinlig o gar nitt dra halte doz'bliwe wenn er
                        weisst, ass Dü ne abg'schifelt hasch.
                    
"
unknown,Madame FRISCH,F,,,"Madame Frisch
(fir sich)
Isch jetz das e Fatalität!... jetz ha-n-i dr Herr Ledig
                        lo z'ruckriefe un jetz soll dà Herr Krach wieder
                        furt... was isch jetz z'mache?...
                    
"
unknown,Herr FLINK,M,,,"Herr Flink.
Was isch... hasch Di ferig b'sunne?... Nunde...
"
unknown,Madame FRISCH,F,,,"Madame Frisch.
Buckel noch emol!... So loss ne doch nur z'Nacht esse
                        do... mr känne jo derno noch allewil dervo rede...
                    
"
