drama_type,speaker,sex,job,social_class,text
unknown,WALTHER,M,,,"Walther.
Enfin, decidier Di... entweder hasch ne gern oder hasch
                        ne nitt gern... wenn De ne gern hasch, so hiroth ne;
                        mir wàr's recht... hasch ne-n-awer nitt gern, so will
                        ich Di wege dem doch nitt zwinge derzüe!
                    
"
unknown,KÀTELE,F,,,"Kàtele.
Ich ha-n-en glaüb nitt ungern... awer eso ne Chineser
                        hirothe, Vater...
                    
"
unknown,WALTHER,M,,,"Walther.
's isch jo kei Chineser... Dü weisch's wohl!
"
unknown,KÀTELE,F,,,"Kàtele.
Sobol ass er eso ne Wàdele am Kopf hat hànke un eso
                        Moustaches as wie schwarze Schnier un wie ne Chineser
                        ag'legt isch, so isch's fir mich e Chineser!
                    

            
"
unknown,KÀTELE,F,,,"Kàtele.

              
"
unknown,WALTHER,M,,,"Walther.

              
"
unknown,WALTHER,M,,,"Walther.
Wenn ihr hirothe mitnander, so wird er wohrschinlig
                        abfahre mit sim Wàdele un sich wieder kleide wie
                        d'andere Lit!
                    
"
unknown,KÀTELE,F,,,"Kàtele.
Meinsch?... er isch awer jetz scho vierzeh Tàg do un
                        laüft noch immer als Chineser umme.
                    
"
unknown,WALTHER,M,,,"Walther.
Was witt halt... er isch's g'wöhnt... siter im zehnte
                        Johr isch er jetz in China gsi.
                    
"
unknown,KÀTELE,F,,,"Kàtele.
Warum haltsch Dü awer jetz eso an dere Hochzit... zeig,
                        Pape?
                    
"
unknown,WALTHER,M,,,"Walther.
Los, Kàtele... ich sott Dir's eigentlig nitt sage...
                        awer ich will Dir's jetz avertraüe, fir ass De siehsch,
                        ass es Di Intresse-n-isch, Di Cüsin z'hirothe... awer
                        versprich mir, ass De nieme nit sage witt!
                    
"
unknown,KÀTELE,F,,,"Kàtele.
Güet, ich versprich's... was isch denn das fir e
                        G'heimniss?
                    
"
unknown,WALTHER,M,,,"Walther.
De weisch, ass ich noch e Schwester g'ha ha, wo
                        g'storwe-n-isch grad 's Johr vor ebb mi Brüeder nach
                        China üsg'wandert isch... Di Cüsin, wo Dich jetz
                        hirothe will, isch sàllemol zeh Johr alt gsie und Dü
                        o... jetz sin ihr beide finfezwanzig.
                    
"
unknown,KÀTELE,F,,,"Kàtele.
Bis dohi sieh-n-i nit b'sunders...
"
unknown,WALTHER,M,,,"Walther.
Wart nur... 's kunnt!... wo mi Schwester
                        g'storwe-n-isch, so isch se Wittfraü gsi un hat
                        zwanzigtaüsend Franke hinterlo un keine Kinder... un
                        wil se vo jeher e-n-Original gsi isch, so hat se ne
                        Testament g'macht, wo sàit, ass das Geld eüch zwei
                        g'hört, wenn ihr hirothe mitnander...
                    
"
unknown,KÀTELE,F,,,"Kàtele.
Jetz wird's scho interessanter, obscho...
"
unknown,WALTHER,M,,,"Walther.
Wart nur, 's isch no nitt ferig... im Fall awer, ass
                        eins vo-n-eüch 's andere nitt will, so bekunnt das, wo
                        nitt will, nit un 's Andere-n-alles!... verstehsch
                        jetz, worum ass ich dra halt?
                    
"
unknown,KÀTELE,F,,,"Kàtele.
's isch wohr... do bekàmt ich also nit, wenn ich thàt
                        nei sage...
                    
"
unknown,WALTHER,M,,,"Walther.
Dü weisch, wie mir stehn... im e Monet vo do sott ich in
                        de Zwanzigtaüsend Franke bezahle un wenn ich nitt ka,
                        was wohrschinlig dr Fall wird si, so verkaüft me mir e
                        Sach un stelt mi üse... also wenn Dü Di Cüsin gern
                        hasch, so hiroth ne, ass Dü derno ufs wenigst versorgt
                        bisch.
                    
"
unknown,KÀTELE,F,,,"Kàtele.
Das Ding isch z'iwerlege... meinsch weisst er ebbes vo
                        dem Testament?
                    
"
unknown,WALTHER,M,,,"Walther.
Ich glaüb nitt, ass em si Vater ebbes wird g'sàit ha...
                        mr hàn ewe-n-abg'redt, ass mir eüch nit sage... De
                        siehsch, ich bi jetz im Fehler... awer unsere Position
                        isch ewe kei g'wöhnlige... obscho mi Brüeder eigentlig
                        o nitt rich isch... se mache-n-allewil viel grossartige
                        G'schàfte un thien awer glaüb mehr verliere-n-ass
                        g'winne derbi.
                    
"
unknown,KÀTELE,F,,,"Kàtele.
Güet, ich will driwer nodenke...
"
unknown,WALTHER,M,,,"Walther.

            
"
unknown,WALTHER,M,,,"Walther.

              
"
unknown,KÀTELE,F,,,"Kàtele.

              
"
