drama_type,speaker,sex,job,social_class,text
comedy (farce),Brummer,M,rentier,upper_class,"BRUMMER
(vun rächts):
Wenn ich mich nitt drumbier, ze muess’s Narrehüss do in d’r Gejed sinn !
"
comedy (farce),Brummer,M,rentier,upper_class,"BRUMMER:
Ah, do kummt jo ebber ! 
"
comedy (farce),E Passant,M,,,"PASSANT:
Nein, leider nitt ! 
"
comedy (farce),Brummer,M,rentier,upper_class,"BRUMMER:
Awer ’s nächscht Wirtshüss, diss dhät’r wisse !
"
comedy (farce),E Passant,M,,,"PASSANT
(kummt wichtig zeruck):
Monsieur, meine Sie am End ’s Narrehüss ?
"
comedy (farce),Brummer,M,rentier,upper_class,"BRUMMER:
Gewiss, diss suech ich jo!
"
comedy (farce),E Passant,M,,,"PASSANT:
Ja, wo diss isch, weiss ich nämlich au nitt! 
"
comedy (farce),Brummer,M,rentier,upper_class,"BRUMMER
(wietig):
Awer zyttig sinn Sie, fur’s ball ze wisse ! Na, ich wurr’s schun finde ! No will ich awer im Monsieur Nervich, wo Dokter drinne-n-isch, schun de Marsch bloose ! 
"
comedy (farce),D’Stimm vum e Papegei,U,,,"PAPEGEI:
Wo isch’s Lorele? Da, Lorele, do hesch de Zuckerle !
"
comedy (farce),Brummer,M,rentier,upper_class,"BRUMMER
(luejt erum):
Wer isch denn diss?
"
comedy (farce),D’Stimm vum e Papegei,U,,,"PAPEGEI:
Lorele ! Gibb mir e Schmitzele !
"
comedy (farce),Brummer,M,rentier,upper_class,"BRUMMER
(luejt am Hüss nuff):
Ah, do owe huckt jo e Papegei, wo schynnt’s in ebber furtg’flöje-n-ich ! E zü scheens Dierele ! 
"
comedy (farce),D’Stimm vum e Papegei,U,,,"PAPEGEI
(lacht):
Lorele will Kueche !
"
comedy (farce),Brummer,M,rentier,upper_class,"BRUMMER:
E gelehrig’s Dierele ! Ich muess’s unbedingt fange, denn diss arm Vieh kummt jo in d’r Frejheit um! 
"
comedy (farce),D’Stimm vum e Papegei,U,,,"PAPEGEI:
Lorele, kumm ! 
"
comedy (farce),Brummer,M,rentier,upper_class,"BRUMMER:
’s wär direkt e Verbreche, so e schlöj’s Dierele umkumme ze lonn ! 
"
comedy (farce),E’n Arweiter,M,labourer,lower_class,"ARWEITER:
Heiliché, haw ich e Durscht! 
"
comedy (farce),Brummer,M,rentier,upper_class,"BRUMMER:
Dem Vöjel kann ich lang ebbs vormache ! Ah, do lejt jo e Leiter ! Jetzt bekumm ich denne Babbelfritz doch. 
"
comedy (farce),E Gauner,M,conman,lower_class,"GAUNER
(kummt vorsichtig g’schliche unn nemmt de Huet unn de Stock vum Brummer):
M’r saat jo, ’s Geld lejt uff d’r Strooss ! Zwanzig Fränkle bekumm ich allewyll noch fur die paar Brocke ! 
"
comedy (farce),Brummer,M,rentier,upper_class,"BRUMMER:
Lorele, ze kumm doch — baddabing ! d’Leiter isch ze kurz ! 
"
comedy (farce),1. Wärter,M,custodian_(asylum),lower_class,"1. WÄRTER
(sieht d’Leiter):
Was Dejfels, ich glabb gar, do rysst einer vun unsere Verruckte üss ! 
"
comedy (farce),Brummer,M,rentier,upper_class,"BRUMMER:
Pscht ! Stille! Ich habb e Vöjel !
"
comedy (farce),1. Wärter,M,custodian_(asylum),lower_class,"1. WÄRTER:
(meh fur sich unn lacht)
Denne hann d’anderen-au ! 
"
comedy (farce),Brummer,M,rentier,upper_class,"BRUMMER:
’s isch sicher einer üss Indie ! Awer ze briehle Sie doch nitt so! Sie verscheiche mir’ne jo schunscht !
"
comedy (farce),1. Wärter,M,custodian_(asylum),lower_class,"1. WÄRTER
(fur sich):
Ich kenn’ne nitt! Der isch gewiss üss d’r Abteilung II!
"
comedy (farce),Brummer,M,rentier,upper_class,"BRUMMER:
Pscht! Wenn’r furtfliejt, ze-n-isch’s Ihri Schuld!
"
comedy (farce),1. Wärter,M,custodian_(asylum),lower_class,"1. WÄRTER:
Ach was! Do fliejt keim so g’schwind d’r Vöjel furt !
"
comedy (farce),Brummer,M,rentier,upper_class,"BRUMMER:
Kenne Sie guet klettere ?
"
comedy (farce),1. Wärter,M,custodian_(asylum),lower_class,"1. WÄRTER:
Muess ich denn daadsächlich erscht noch Hilf dezue hole!
"
comedy (farce),Brummer,M,rentier,upper_class,"BRUMMER:
Diss isch nitt neetig! Awer e längeri Leiter miehn mir hann ! Wenn ’r in dere Zytt numme nitt furtfliejt !
"
comedy (farce),1. Wärter,M,custodian_(asylum),lower_class,"1. WÄRTER
(lacht):
Der sitzt fescht fur syn Läbdesdaa! Wie heisse Sie eijetlich ?
"
comedy (farce),Brummer,M,rentier,upper_class,"BRUMMER:
Worum? Hann Sie sich viellycht mir schun vorg’stellt ?
"
comedy (farce),1. Wärter,M,custodian_(asylum),lower_class,"1. WÄRTER:
Numme nitt uffreje, liewer Frind ! Üss wellere Abteilung sinn Sie, odder hann Sie Separat-Pension?
"
