,drama_type,speaker,sex,job,job_category,social_class,text,short_name
0,comedy,Frisch,M,,,,"
            
Frisch :

            
(liest Zeitung)

          
",kuehne-bureaukrate
1,comedy,Dindeschlecker,M,,,,"
            
Dindeschlecker :

            
(rechnet eifrig.)

          
",kuehne-bureaukrate
2,comedy,Frei,M,,,,"
            
Frei :

            
(starrt in die Luft und trämut ; das Schweigen dauert etwa eine Minute, fällt schliesslich
            Frei auf ; er beugt den Kopf leicht um den Aufsatz seines Pultes herum, gewahrt das Idyll, nimmt eine
            Zitronen- oder Orangenschale und wirft sie über das Pult Dindeschleckers hinweg, auf Frisch's
            Zeitung. Worauf er eifriges Schreiben markiert.)

          
",kuehne-bureaukrate
3,comedy,Frisch,M,,,,"
            
Frisch :

            
(fährt auf)

            
Ninevierzig noch emol ! Jetz stecke mr emol die Fisik uff, Babbe Dindeschlecker ! Nit emol riehwig
            sinne Zitung lase ka mr im Dienscht ! 
            
(nimmt die Schale und wirft sie über den Aufsatz Dindeschleckers hinweg, diesem gerade auf
            seine Arbeit.)

          
",kuehne-bureaukrate
4,comedy,Dindeschlecker,M,,,,"
            
Dindeschlecker :

            
(gemütlich)

            
Allons, allons ! 
            
(wirft die Schale in den Papierkorb.)

          
",kuehne-bureaukrate
5,comedy,Frei,M,,,,"
            
Frei :

            
(nimmt eine weitere Schale und wirft sie an die Zimmerdecke, derart, dass sie zurückfallend
            auf Dindeschleckers Arbeit fällt.)

          
",kuehne-bureaukrate
6,comedy,Dindeschlecker,M,,,,"
            
Dindeschlecker :

            
(gemütlich)

            
Allons, allons, Herr Frisch, wenn Sie's salwer nit verputze kenne, wurum warfe Sie mir so Dings a!
            
            
(wirft die Schale weg.)

          
",kuehne-bureaukrate
7,comedy,Frisch,M,,,,"
            
Frisch :

            
Was? Ich?

          
",kuehne-bureaukrate
8,comedy,Dindeschlecker,M,,,,"
            
Dindeschlecker :

            
Wer sunscht denn ?

          
",kuehne-bureaukrate
9,comedy,Frei,M,,,,"
            
Frei :

            
Am And gar ich, hm ?

          
",kuehne-bureaukrate
10,comedy,Frisch,M,,,,"
            
Frisch :

            
Egal wer ! Ich will minne Rüehj ha! Einer von Euich isch's sicher, wu so Fisik tribt ; wenn's jetz
            nit uffheert, pack i eifach dr eint un verhaui dr ander drmit, drno isch dr Richtig scho drbi, soviel
            weiss i drno wenigschtens.

          
",kuehne-bureaukrate
11,comedy,Frei,M,,,,"
            
Frei :

            
Dü verstehsch awer o gar kä Spass !

          
",kuehne-bureaukrate
12,comedy,Frisch,M,,,,"
            
Frisch :

            
Spass hin, Spass har! Ich bin gwis e dummer Teuifel, awer alles wird eim emol z'güet - halt nei: E
            gueter Teuifel awer alles wird eim z'dumm mit dr Zit : Wenn i schaff, hann i nix drgege, wenn
            Dummheite g'macht ware, awer wenn i Zittung lies, drno mecht i minne Rüehj ha!

          
",kuehne-bureaukrate
13,comedy,Hasepfeffer,M,,,,"
            
Hasepfeffer :

            
(tritt ein)

            
Messieurs, jetz awer gmietlig, dr Alt müess glich kumme, ich mein, ich heer ne scho !

          
",kuehne-bureaukrate
14,comedy,Fröhlich,M,,,,"
            
Fröhlich :

            
( im leichten Staubmantel, tritt ein, bleibt jedoch hinter der geöffneten Tür stehen. Im
            Tonfalle Linsespalter's :)

            
Bonjour Messieurs ! Tout le monde est là, personne ne manque ?

          
",kuehne-bureaukrate
15,comedy,Frisch,M,,,,"
            
Frisch :

            
(wirft schnell die Zeitung in den Papierkorb ; Hasepfeffer kichernd ab.)

          
",kuehne-bureaukrate
16,comedy,alle,M,,,,"
            
Alle :

            
Bonjour Monsieur Linsespalter !

          
",kuehne-bureaukrate
