,drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name
0,horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel :

        
(züend mit e’re Velolamp erum)

        
Kumme Sie, Herr Architekt.

      
",0,bastian-s-gaischtert-im-huss
1,horreur,M. Meter,M,architect,professionals_scientific_technical,upper_middle_class,"
        
Meter:

        
Exküsiere Sie, M. Winkel, wenn ich... saperlot, es isch jo ball Zwölf...

      
",1,bastian-s-gaischtert-im-huss
2,horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
Deschto besser. Un? Han Sie min Hüs genau unter- suecht?

      
",2,bastian-s-gaischtert-im-huss
3,horreur,M. Meter,M,architect,professionals_scientific_technical,upper_middle_class,"
        
Meter:

        
Gewissehaft, ja.

      
",3,bastian-s-gaischtert-im-huss
4,horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
Un ’s Resultat?

      
",4,bastian-s-gaischtert-im-huss
5,horreur,M. Meter,M,architect,professionals_scientific_technical,upper_middle_class,"
        
Meter:

        
Nix! Au gar nix.

      
",5,bastian-s-gaischtert-im-huss
6,horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
Un nix Verdächtigs gfunde?

      
",6,bastian-s-gaischtert-im-huss
7,horreur,M. Meter,M,architect,professionals_scientific_technical,upper_middle_class,"
        
Meter:

        
Naan.

      
",7,bastian-s-gaischtert-im-huss
8,horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
Han Sie d' Wänd abgeklopft?

      
",8,bastian-s-gaischtert-im-huss
9,horreur,M. Meter,M,architect,professionals_scientific_technical,upper_middle_class,"
        
Meter:

        
Alli, alli!

      
",9,bastian-s-gaischtert-im-huss
10,horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
Sin Sie im Keller gsin, uff d'r Büehn?

      
",10,bastian-s-gaischtert-im-huss
11,horreur,M. Meter,M,architect,professionals_scientific_technical,upper_middle_class,"
        
Meter:

        
Ueweral, M. Winkel...

      
",11,bastian-s-gaischtert-im-huss
12,horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
Hm! E unheimlichi Gschicht... wo mich e Vermöje koscht... noch meh! Ja, wo mich rüiniert.

      
",12,bastian-s-gaischtert-im-huss
13,horreur,M. Meter,M,architect,professionals_scientific_technical,upper_middle_class,"
        
Meter:

        
Rüi...niert? Wieso?

      
",13,bastian-s-gaischtert-im-huss
14,horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
Guet ze verstehn. Bedenke Sie, e füenfstöckigs Hüss, modern yngericht, mit grossem Garte vorne un hinte, d’rzue noch in e’re freie, herrliche Gejed; e füenfstöckigs Hüss wo ken Mensch meh nynzeije will, wo verruefe isch! Bedenke Sie der Zinsverluscht!

      
",14,bastian-s-gaischtert-im-huss
15,horreur,M. Meter,M,architect,professionals_scientific_technical,upper_middle_class,"
        
Meter:

        
Rächt han sie.

      
",15,bastian-s-gaischtert-im-huss
16,horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
Ganz abgsehne vun d'r Ambediererei vun de Jour- naliste, wo aane Daa un Nacht üss lütter Wunderfitz ken Ruehj lonn. Gott, was sin schun Artikel üewer des Hüss lanciert worre. Un photographiert! Meh als e Minischter.

      
",16,bastian-s-gaischtert-im-huss
17,horreur,M. Meter,M,architect,professionals_scientific_technical,upper_middle_class,"
        
Meter:

        
Ich hab e Idee. Verkaufe Sie diss Hüss.

      
",17,bastian-s-gaischtert-im-huss
18,horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
Glich, glich, wenn’s numme Jemes wott. Alli An- nonce han bis dato nix genutzt. Im Gejedail... Stromswies komme Fremdi for diss Hüss ze betrachte. Jede Sunndaa sieht mer hunderti vun Automobil im Städtel. Wisse Sie, M. Meter, wer d' beschte Gschäfte do d’rbie macht?

      
",18,bastian-s-gaischtert-im-huss
19,horreur,M. Meter,M,architect,professionals_scientific_technical,upper_middle_class,"
        
Meter:

        
Ich kann mer’s denke.

      
",19,bastian-s-gaischtert-im-huss
20,horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
Die Herre Wirt, d' Hôtelier, d' Beck, d'r Metzjer, d'r Patissier. So ebbs zuesehn ze müehn, diss geht aam an d' Niere.

      
",20,bastian-s-gaischtert-im-huss
21,horreur,M. Meter,M,architect,professionals_scientific_technical,upper_middle_class,"
        
Meter:

        
Kann mer’s denke. 
(Kleini Paus.)

      
",21,bastian-s-gaischtert-im-huss
22,horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
E Fröij, M. Meter. Han Sie selwer schun emol denne Spektakel in dem Hüss zueg’hoert?

      
",22,bastian-s-gaischtert-im-huss
23,horreur,M. Meter,M,architect,professionals_scientific_technical,upper_middle_class,"
        
Meter:

        
Naan!

      
",23,bastian-s-gaischtert-im-huss
24,horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
Han Sie schwachi Nerve?

      
",24,bastian-s-gaischtert-im-huss
25,horreur,M. Meter,M,architect,professionals_scientific_technical,upper_middle_class,"
        
Meter:

        
Nit dass ich wuesst. Unseraaner muess jo uff de höchschte Gerüschter erumgaise.

      
",25,bastian-s-gaischtert-im-huss
26,horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
Guet. Mache Sie mir denne Gfalle un gehn Sie jetzt mit mir vun aam Stock zuem andere.

		

      
",26,bastian-s-gaischtert-im-huss
27,horreur,M. Meter,M,architect,professionals_scientific_technical,upper_middle_class,"
        
Meter:

        
Ihne ze gfalle, gewiss, un um Ihne ze zaje, dass ich Nerve hab.

      
",27,bastian-s-gaischtert-im-huss
28,horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
Es isch jetzerte juste dreiviertel uff Zwölf.

      
",28,bastian-s-gaischtert-im-huss
29,horreur,M. Meter,M,architect,professionals_scientific_technical,upper_middle_class,"
        
Meter:

        
Werum han Sie denn e Velolamp, un ken Revolver?

      
",29,bastian-s-gaischtert-im-huss
30,horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
Im Hüss isch alles abgstellt. Elektrizität, Gas, Was- serleitung. Gescht isch d'r letscht Lokatär üssgezöje.

      
",30,bastian-s-gaischtert-im-huss
31,horreur,M. Meter,M,architect,professionals_scientific_technical,upper_middle_class,"
        
Meter:

        
kumme Sie, ich hebb ’ne d' Velolamp. Ich glaab Sie riedere, M. Winkel?

      
",31,bastian-s-gaischtert-im-huss
32,horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
Riedere? Vor wem?

      
",32,bastian-s-gaischtert-im-huss
33,horreur,M. Meter,M,architect,professionals_scientific_technical,upper_middle_class,"
        
Meter:

        
Ich, ich... sieh dass ihri Hand zittert.

      
",33,bastian-s-gaischtert-im-huss
34,horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
Un Sie? Mer maant Sie riedere in d'r Stimm.

      
",34,bastian-s-gaischtert-im-huss
35,horreur,M. Meter,M,architect,professionals_scientific_technical,upper_middle_class,"
        
Meter:

        
Jo was, was d...denke Sie denn.

      
",35,bastian-s-gaischtert-im-huss
36,horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
M. Meter... es wurd glich zwölf schlaaue.

      
",36,bastian-s-gaischtert-im-huss
37,horreur,M. Meter,M,architect,professionals_scientific_technical,upper_middle_class,"
        
Meter:

        
Zwölf!? Wie alles so hohl döhnt do hinne!

      
",37,bastian-s-gaischtert-im-huss
38,horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
Nadierlich, wenn’s ganz Hüss leer isch.

      
",38,bastian-s-gaischtert-im-huss
39,horreur,M. Meter,M,architect,professionals_scientific_technical,upper_middle_class,"
        
Meter:

        
Brrr! un kalt isch’s. Tiens, do het e Lokatär e Blech- kann vergesse mitzenäme.

      
",39,bastian-s-gaischtert-im-huss
40,horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
Bscht! Noch e Minüt, no wäre mer ebbs erläwe.

      
",40,bastian-s-gaischtert-im-huss
41,horreur,M. Meter,M,architect,professionals_scientific_technical,upper_middle_class,"
        
Meter:

        
Erläwe? Isch’s als a-arig, M. Winkel?

      
",41,bastian-s-gaischtert-im-huss
42,horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
Jo, je noochdem. Ich glaab Sie klebbere mit de Zähn?

      
",42,bastian-s-gaischtert-im-huss
43,horreur,M. Meter,M,architect,professionals_scientific_technical,upper_middle_class,"
        
Meter:

        
Jo, allewäj. Kalt isch’s, kalt hab ich.

      
",43,bastian-s-gaischtert-im-huss
44,horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
Noch e Sekund, M. Meter. 
(Es schlaat wittlos Zwölf.)

      
",44,bastian-s-gaischtert-im-huss
45,horreur,E Stimm,M,real_estate_agent,service_and_sales,upper_middle_class,"
        
Stimm:

        
(huescht)
.

      
",45,bastian-s-gaischtert-im-huss
46,horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
Han Sie’s g’hört. Es hett ebber g’huescht.

      
",46,bastian-s-gaischtert-im-huss
47,horreur,M. Meter,M,architect,professionals_scientific_technical,upper_middle_class,"
        
Meter:

        
Jaja, g...ganz d... dittlich.

      
",47,bastian-s-gaischtert-im-huss
48,horreur,M. Meter,M,architect,professionals_scientific_technical,upper_middle_class,"
        
Meter:

        
Jaja, g...ganz d...

      
",48,bastian-s-gaischtert-im-huss
49,horreur,M. Winkel,M,landlord,rentiers,upper_middle_class,"
        
Winkel:

        
Basse Sie uff, was jetzt gschieht.

      
",49,bastian-s-gaischtert-im-huss
50,horreur,M. Meter,M,architect,professionals_scientific_technical,upper_middle_class,"
        
Meter:

        
Wa-was gschieht?

      
",50,bastian-s-gaischtert-im-huss
51,horreur,E Stimm,M,real_estate_agent,service_and_sales,upper_middle_class,"
        
Stimm :

        
(lütt)

        
Hm! Hm! St! St! ...Ssss! 
(Mer hört kratze un scherre.)

      
",51,bastian-s-gaischtert-im-huss
