,drama_type,speaker,sex,job,job_category,social_class,text,short_name
0,tale,Barthelmé Scheid,M,,,,"
            
M. Scheid  :

            
(am Cheminé im Lehnsessel)

            
Mathis, geh ans Fenschter! Mer sieht jo nuff bis ans Obertor. Ich bin so arig unrüeich!

          
",weber-wihnachtsstimme
1,tale,Mathis,M,,,,"
            
Mathis:

            
(der am Kaminfeuer beschäftigt, geht ans ken-  ster und schaut hinaus)

            
Nix uffälligs! D’Litt gehn üss un in, wie in de beschte Friedenszitte.

          
",weber-wihnachtsstimme
2,tale,Barthelmé Scheid,M,,,,"
            
M. Scheid:

            
Die Speckritter, Revolutzer, Patriote, Sans- culotte un Jakobiner, wie se alli heisse, müen doch a mol mied wäre vun dem unuffherliche Gemetzel. Villicht dämmert in dennä doch noch e biss'l vun de alt Wihnachtsherrlichkeit.

          
",weber-wihnachtsstimme
3,tale,Mathis,M,,,,"
            
Mathis :

            
(noch am Fenster)

            
Wahrhaftig, wenn se nit däne Morje noch ä armi, rechtschaffeni Frau, wo nur e bess’l ewer de schlechte Zitte geklagt het, do d’Stross nab züe d'r Guillotine g’schleppt hätte als Feindin vun der Republique, mer könnt fascht sage: Es isch hitt ken Révolution.

          
",weber-wihnachtsstimme
4,tale,Barthelmé Scheid,M,,,,"
            
M. Scheid:

            
Wieviel Ühre isch’s?

          
",weber-wihnachtsstimme
5,tale,Mathis,M,,,,"
            
Mathis:

            
Es müess glich 3e schlawe!

          
",weber-wihnachtsstimme
6,tale,Barthelmé Scheid,M,,,,"
            
M. Scheid:

            
Schun? Es wird mer immer ängstliger züe Müet! Sag! Siehsch nit ä strammer Zemmermanns- bursch met Richtscheid un Säj d’Stross nabwandere? So lang isch’r noch nie üssgebliwe, miner Florence.

          
",weber-wihnachtsstimme
7,tale,Mathis,M,,,,"
            
Mathis :

            
(schaut hinaus)

            
Nai! 
(zurück vom Fenster)
 Oh, Monsieur, berühige n’eich. D’Müeter Gottes isch mit'm. Em Herr Abbé bassiert nix.

          
",weber-wihnachtsstimme
8,tale,Barthelmé Scheid,M,,,,"
            
M. Scheid:

            
Un doch! Ich kann die Angscht nit nider- drucke. Jung, wie är isch, ganz voller Ifer für sine heilig Berüef, wie er in so schwerer Zitt üssiewe müess? Ich hab Angscht, er dät mol ä Unvorsichtig- keit begehn un wurd no vun däne wietige, gottlose Speckritter entdeckt.

          
",weber-wihnachtsstimme
9,tale,Mathis,M,,,,"
            
Mathis:

            
Schun meh ass einmol isch er in de greschte Gfahr gewänn; awer wie durch ä Wunder isch’r immer wider sine Verfolger entgange.

          
",weber-wihnachtsstimme
10,tale,Barthelmé Scheid,M,,,,"
            
M. Scheid:

            
Awer hit het er ä ganz g’fährlige Versähgang ze mache g'het. Er isch züem totkranke Dominika- nerjerry drüsse uff der Dominikanerferme gerüefe worre. Der wohnt bim rote Hannes, bim wietigschte Jakobiner üss der ganze Umgejet. Wann där me- rike dät, dass in sim Hüss ä Prieschter hit Nacht im ä arme Kranke der letschte Troscht reicht? — Oh, mini Angscht isch hit nur züe berechtigt. — Du lie- wer Gott, b’schitz ne! — Loss mer mine Sohn, mine Stolz, mine einzigschte Troscht in däne schwere Zitte.

          
",weber-wihnachtsstimme
11,tale,Mathis,M,,,,"
            
Mathis:

            
Herr Scheid! — Awer ihr hän doch zwei Söhn! — Ja, wenn doch noch der ander do wär!

          
",weber-wihnachtsstimme
12,tale,Barthelmé Scheid,M,,,,"
            
M. Scheid:

            
Weller ander?

          
",weber-wihnachtsstimme
13,tale,Mathis,M,,,,"
            
Mathis:

            
Ejer Aeltschter, der Barthelmé!! M. Scheid 
(zuckt zusammen — hebt abwehrend die beiden Hände)
: De Barthelmé? — Sprich m'r nit vun’m, vun dem abg’fallene Sohn, vun dem Revolutzer! — Nai!—

          
",weber-wihnachtsstimme
14,tale,Mathis,M,,,,"
            
Mathis:

            
Eiri Befirchtunge, Herr Scheid, sin numme Ah- nunge. Wer weiss, was er nit alles für Güets schafft jetzt dort in Paris, im Sinn von de güete, alte Zitte.

          
",weber-wihnachtsstimme
15,tale,Barthelmé Scheid,M,,,,"
            
M. Scheid :

            
(wegwerfend)

            
Er mit sinere wive Natur?! 
(entrüstet)
 Näi! Höchschstens isch er im Bund mit däne Vernunftsapostel un mit dene liedrige Göttine vun der raison.

          
",weber-wihnachtsstimme
16,tale,Mathis,M,,,,"
            
Mathis:

            
Awer sicher, un är isch jo mit soviel Begeisch- terung furt, fürs Kaufmannsfach ze stüdiere. Sicher isch 'r jetzt in so-r-ä g’heime Verwaltung tätig, wu widder Ordnung schaffe will.

          
",weber-wihnachtsstimme
17,tale,Barthelmé Scheid,M,,,,"
            
M. Scheid:

            
Näi! — Er isch ken Mann für heimlich Getües. Oeffentli isch er tätig, im Dienscht vum Umsturz un vun der Revolution.

          
",weber-wihnachtsstimme
18,tale,Mathis,M,,,,"
            
Mathis :

            
(bekümmert für sich)

            
Könnt ich numme einmol däne güete alte Herre tröschte?!

          
",weber-wihnachtsstimme
