speaker,sex,text
jules_kleitz,M,"Jules

          
(steht auf und wirft die Zeitung weg).
Nit ellein die nej und d'alt Welt het diss verruckte Ding üwerfalle, nein, au in mini ménage het
          sich diss Lumpeding iing'schlieche. Un wer het's eringebrocht ? Mini lieb un herzensgüet Schwejeres !
          Uessgerechent sie prowiert schunzitter 3 Wuche do in minere ménage Yo-Yo! Sie spielt am Morje wenn sie
          uffsteht, am Middaa wärenem Esse, de ganze Middaa, ja viellicht noch sogar z'Nacht-s im Bett. Un do
          solle eim nit d'Nerfe durichgehn ? s'Galee hab ich in minere Wohnung un dis alles numme, will mini lieb
          
          
"
jules_kleitz,M,"Jules :
« Entrez! »
"
marie,F,"Marie
(kommt hinten herein):
« De Herr Dokter Schmitt isch do un will mit Ihne redde. »
"
jules_kleitz,M,"Jules :
« Er soll glich do eriin kumme. »
"
marie,F,"Marie :
« Güet Mösjö. » 
          
"
dokter_robert_schmitt,M,"Robert

          
"
jules_kleitz,M,"Jules :
« Roby, düe bisch mini letscht Hoffnung, düe müesch mir helfe. »
"
dokter_robert_schmitt,M,"Robert :
« Wo fehlt's denn ? Bisch krank ? »
"
jules_kleitz,M,"Jules :
« Krank ? Aba. »
"
dokter_robert_schmitt,M,"Robert :
« Ja, was isch denn no los ? »
"
jules_kleitz,M,"Jules :
« Setz dich emol. » 
          
"
dokter_robert_schmitt,M,"Robert
(beobachtet Jules):
« Jo-jo Jules, was hesch denn düe..... »
"
jules_kleitz,M,"Jules :
« Was Yo-Yo ? Kennsch düe's denn au schun ? »
"
dokter_robert_schmitt,M,"Robert :
« Was denn ? »
"
jules_kleitz,M,"Jules :
« Ei diss neuje verruckte Spiel ? »
"
dokter_robert_schmitt,M,"Robert :
« Ich weiss nit was düe meinsch, ich möcht numme gern wisse, werum düe mich rüefe hesch
          lonn. »
"
jules_kleitz,M,"Jules :
« Güet, ich will dir's saawe. Roby, liewer Frind, ich bin arich unglücklich. »
"
dokter_robert_schmitt,M,"Robert :
« Unglücklich ? Ja werum denn ? »
"
jules_kleitz,M,"Jules :
« Mini Schwejeres spielt Yo--Yo! »
"
dokter_robert_schmitt,M,"Robert :
« Sie spielt Yo-Yo ? Ja un weje dem losch düe mich hole ? »
"
jules_kleitz,M,"Jules :
« Ja findsch düe, dass diss nix isch, wenn eim jemand de ganze Daa in d'r ménage Yo-Yo spielt ?
          »
"
dokter_robert_schmitt,M,"Robert :
« Yo-Yo ? Was isch denn diss eigentlich ? »
"
jules_kleitz,M,"Jules :
« Diss weisch düe nit ? Ah düe weisch nit was Yo-Yo isch. Glücklicher Mensch ! »
"
dokter_robert_schmitt,M,"Robert :
« Nein, ich weiss es nit. »
"
jules_kleitz,M,"Jules :
« D'ganz Welt spielt doch Yo-Yo! Alli Kini un Kaiser, alli Kinostar, alli Köche, alli Kinder,
          alli Kindermaidle un au mini Schwejermamme spielt Yo-Yo! »
"
dokter_robert_schmitt,M,"Robert :
« Awer jetzt weiss ich's jo als noch nit. »
"
jules_kleitz,M,"Jules :
« Alli Zytunge schriewe devun un d'Illustrierte bringe Bilder. Yo-Yo isch Trumpf. Yo-Yo isch e
          Epidemie. »
"
dokter_robert_schmitt,M,"Robert :
« E Eipidemie ? ? Ja no isch's jo e Krankheit ! »
"
jules_kleitz,M,"Jules :
« Zäll nit, awer die wo züelüeje kenne krank devun wäre. Es isch e Spiel. »
"
dokter_robert_schmitt,M,"Robert :
« E Spiel? Wurd's getrette od'r g'stosse ? Isch's e Balle od'r e Art Domino. Od'r setzt m'r
          sich druff un fahrt furt mit ? »
"
jules_kleitz,M,"Jules :
« M'r merigt, dass noch nit verhyrot bisch. »
"
dokter_robert_schmitt,M,"Robert :
« Werum, wieso ? »
"
jules_kleitz,M,"Jules :
« Wenn düe e Schwejeres hättsch, wo au de ganze Daa Yo-Yo spiele dät, no wischt düe's au was es
          isch. »
"
dokter_robert_schmitt,M,"Robert :
« Ja no saa mir's doch jetzt emol was es isch. »
"
jules_kleitz,M,"Jules :
(holt aus einer Tasche ein Yo-Yo)
« So do isch jetzt emol e Yo-Yo » 
          
"
dokter_robert_schmitt,M,"Robert :
« Düe hesch jo alli Säck voll! »
"
jules_kleitz,M,"Jules :
« Die hab ich alli minere Schwejeres eweggeputzt, will ich gedänkt hab, sie spielt no nimi. Ja
          do, sie het sich no immer e anders kauft ».
"
dokter_robert_schmitt,M,"Robert :
« Also diss isch jetzt e so e Yo-Yo ? »
"
jules_kleitz,M,"Jules :
« Diss sin sogar e paar Yo-Yo! »
"
dokter_robert_schmitt,M,"Robert :
« Un mit so eme Ding spielt dini belle-mère ? »
"
jules_kleitz,M,"Jules :
« Sie nit ellein, au mini Frau fangt so langsam aan un s'Dienschtmaidel hett au schun eins
          g'schenkt bekumme. »
"
dokter_robert_schmitt,M,"Robert :
« Ja wie geht denn diss Ding eigentlich ? »
"
jules_kleitz,M,"Jules
(steckt alle Yo-Yo schnell ein) :
« Nan, dir zeij ich diss nit.
"
dokter_robert_schmitt,M,"Robert :
« Ja un werum denn nit ? »
"
jules_kleitz,M,"Jules :
« Am End spielsch düe mir no au. »
"
dokter_robert_schmitt,M,"Robert :
« Diss isch doch sicher ebs harmloses. »
"
jules_kleitz,M,"Jules :
« Ebs harmloses ? Eh bien merci. 3 Vase, e Suppeschüssel un 2 Spiejel un sogar min Radio sin
          dodurich kapütt gange. »
"
dokter_robert_schmitt,M,"Robert :
« Wieso denn ? »
"
jules_kleitz,M,"Jules :
« Ei will mini Schwejeres nit acht gibt, wenn sie yoyotiert. Sie rennt emol do un emol dert debie
          an. No isch do ebs füti un dert au. »
"
dokter_robert_schmitt,M,"Robert :
« Ja isch denn diss Spiel so arich kumpliziert ? »
"
jules_kleitz,M,"Jules :
« Ewe nit, awer sie schickt sich so arich daub debie. »
"
dokter_robert_schmitt,M,"Robert :
« Jules, zeij mir doch emol so e Yo-Yo. »
"
jules_kleitz,M,"Jules :
« Nix ze mache. Es isch e Schnürele dran un mit dem macht m'rs danze. Siehsch eso 
          
"
dokter_robert_schmitt,M,"Robert :
« Ja un weje dem hesch düe mich rüefe lonn ? »
"
jules_kleitz,M,"Jules :
« Ja, denn düe müesch mir helfe mini Schwejeres küriere. Sie müess uffhöre mit 
          
"
dokter_robert_schmitt,M,"Robert :
« Na, na, Jules. »
"
jules_kleitz,M,"Jules :
« Ich hab jo noch nie ebs degeje g'het, wenn sie kumme isch. Was awer züe viel isch, isch ewe
          züe viel. 's letscht Johr, wo mir doch küm g'hyrot sin g'sin, het sie 14 Daa bliewe wöelle. »
"
dokter_robert_schmitt,M,"Robert :
« Ja un? »
"
