drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name
comedy,Hortense,F,,,,"Mon Dieu wie bin ich unglüecklich.|||Ken Mensch wo aane tröscht. Gott wie min Hochzittsnastüechel tropft.|||Träne, nix wie Träne.",0,bastian-e-sportschochzitt
comedy,Octavie,M,,,,"Bonjour Hortense, glüecklichi Hochzittere! Loss dich umarme. Ja, was muess ich sehne? Dü griensch?",0,bastian-e-sportschochzitt
comedy,Hortense,F,,,,Bonjour Tante Octavie.,1,bastian-e-sportschochzitt
comedy,Octavie,M,,,,Was isch denn basiert?,1,bastian-e-sportschochzitt
comedy,Hortense,F,,,,D'r Camille isch noch nit do.,2,bastian-e-sportschochzitt
comedy,Octavie,M,,,,"Diner Hochzitter? Ah, nit möjlich! Kumm setz dich.",2,bastian-e-sportschochzitt
comedy,Hortense,F,,,,"In e're Halbstund solle mer uff d' Mairie, derno in d'Kirich. Ich verzwiefel noch.",3,bastian-e-sportschochzitt
comedy,Octavie,M,,,,"Na, ja, er wurd schun kumme. Tröscht dich. Viellicht isch-em e Hosseknopf abgschprunge, odder er het d'Krawatt verlajt, odder....",3,bastian-e-sportschochzitt
comedy,Hortense,F,,,,So ebbs soll am eso e Daa nit vorkumme.,4,bastian-e-sportschochzitt
comedy,Octavie,M,,,,Biem e Junggsell isch alles möjlich.,4,bastian-e-sportschochzitt
comedy,Hortense,F,,,,"O, ich sitz wie uff-em e Kohlefyr.|||Bedenk, tante, wenn'r nit käm. Die Blamasch. Ich gäng direkt...",5,bastian-e-sportschochzitt
comedy,Octavie,M,,,,In's Wasser?,5,bastian-e-sportschochzitt
comedy,Hortense,F,,,,"Naan, in's Kloschter. Tante Octavie, hirot nit, hirot nit. Betracht mich in mim grenzelose Ku-kummer. Näm dir e lawendigs Exempel an mir.",6,bastian-e-sportschochzitt
comedy,Octavie,M,,,,In die Verläjeheit wurr ich nie kumme.,6,bastian-e-sportschochzitt
comedy,Hortense,F,,,,"Jo mach Sache. Dü bisch jo erscht in de vierzig, odder?",7,bastian-e-sportschochzitt
comedy,Octavie,M,,,,Was waisch denn dü vom Läwe. Ach Gott.,7,bastian-e-sportschochzitt
comedy,Hortense,F,,,,Werum sifzsch denn eso?,8,bastian-e-sportschochzitt
comedy,Octavie,M,,,,"Hab ich gsifzt? Hortensele, ich hab mir gschwore nie ze hirote. E Mann bringt aam nix wie Sorje un Unglüeck.",8,bastian-e-sportschochzitt
comedy,Hortense,F,,,,"Awer Tante, wie reddsch denn dü?",9,bastian-e-sportschochzitt
comedy,Octavie,M,,,,Bsunders e Mann wo Sport triebt.|||Ich warn dich vor so 'me Mann.,9,bastian-e-sportschochzitt
comedy,Hortense,F,,,,"Tante, er het mir awer versproche, dass'r üss alle Societäte...",10,bastian-e-sportschochzitt
comedy,Octavie,M,,,,"Bscht! Verspreche duehn sie alli, awer nix halte. Dü nadierlich mit dine zwanzig Johr, dü luejsch d'Männerwelt noch mit unschuldige Paradiesaue aan.",10,bastian-e-sportschochzitt
comedy,Hortense,F,,,,"Statt aane ze tröschte, machsch aam 's Herz noch schwerer. O ich armer Tropf.",11,bastian-e-sportschochzitt
comedy,Octavie,M,,,,"Düürsch mich, Kind, awer ich bin uffrichtig. So e Mann het jo nie ken Zitt for sini Frau, d'r Sport isch ihm alles, alles! So e Mann isch nie d'haame, un am End vum Johr het'r e Korb voll Cotisatione ze zahle, wo d'Frau nix d'rvun het.",11,bastian-e-sportschochzitt
comedy,Hortense,F,,,,Awer d'r Sport isch doch ebbs gesunds.,12,bastian-e-sportschochzitt
comedy,Octavie,M,,,,Ebbs gsunds? Mach mich nit lache.,12,bastian-e-sportschochzitt
comedy,Hortense,F,,,,"Doch, doch. Sitter dass d'r Camille zue uns kummt, isch bie uns alles gsund.",13,bastian-e-sportschochzitt
comedy,Octavie,M,,,,"Ah, do bin ich awer gschbannt.",13,bastian-e-sportschochzitt
comedy,Hortense,F,,,,"Im Babbe siner Fettbüch hett-em Maläschte gemacht. D'r Camille het gsaat: Babbe mache Sie Gymnastique, ich lehr Sie. Sie wäre sehn, Sie greje e Taille wie e Weschbel; d'Mame het allewiel weh in de Baan g'hett. D'r Camille het sie Velo fahre lehre. Un 's Weh isch eweck. D'Grossmame, wo dato siewezig Johr alt isch, die isch allegelte an Kritzbuckelschmerze im Bett geläje. D'r Camille het e're gerote mit yserige|||Hantle un an de Ring ze schaffe. Jetzt geht sie kerzegrad, un isch ganz buschberlig.",14,bastian-e-sportschochzitt
comedy,Octavie,M,,,,"Also demnooch het's diner Camille fertig gebrocht, d'ganz Familli mit-em Sportsgaischt ze vergifte. Naan, so ebbs. Ja un was het'r denn dich gelehrt?",14,bastian-e-sportschochzitt
comedy,Hortense,F,,,,Tennis.,15,bastian-e-sportschochzitt
comedy,Octavie,M,,,,Jesses! Arms Kind.,15,bastian-e-sportschochzitt
comedy,Hortense,F,,,,Um's Gottswille! Tante! Tante!,16,bastian-e-sportschochzitt
comedy,Octavie,M,,,,"Tennis! Tennis! Diss isch din Unglüeck. Mit Tennis het's bie mir angfange, mit Tennis het's uffg'hört.",16,bastian-e-sportschochzitt
comedy,Hortense,F,,,,"Tante, ich versteh dich nit. Kumm doch zue dir. Soll ich e Glas Wasser hole?",17,bastian-e-sportschochzitt
comedy,Octavie,M,,,,"Merci, ich hab mini Ohnmacht nabgschluckt.|||Oh! Was muess ich sehn? D'r Schwöjer hängt im Garte am Reck! O, jetzt macht'r Büchwelle. Conrad! Conrad, dü verdräjsch dir jo d'r Blinddarm. Conrad! Halt! Jetzt macht'r d'r Rieseschwung. Der brecht sich noch's Gnick. Ich kann's nim sehn.",17,bastian-e-sportschochzitt
comedy,Octavie,M,,,,Was poltert denn so?,18,bastian-e-sportschochzitt
comedy,Hortense,F,,,,"Nix, d'Grossmame schafft im Näwetszimmer mit de Hantle.",18,bastian-e-sportschochzitt
comedy,Octavie,M,,,,"Naan, so ebbs verruckts.",19,bastian-e-sportschochzitt
comedy,Hortense,F,,,,"Saa, Tante, werum soll Tennis e Unglüeck sin?",19,bastian-e-sportschochzitt
comedy,Octavie,M,,,,"Kind, ich bin uffrichtig. Wie ich so alt bin gsin wie dü, hab ich au e Hochzitter g'hett. Gaston het'r g'haisse. Gaston!",20,bastian-e-sportschochzitt
comedy,Hortense,F,,,,"Ah! Verzehl, verzehl!",20,bastian-e-sportschochzitt
comedy,Octavie,M,,,,"Ja, un er het mir versproche, dass wenn mer g'hirot sin, bie alle Sportsveraan Demission ze gänn.",21,bastian-e-sportschochzitt
comedy,Hortense,F,,,,Diss het miner Camille au versproche.,21,bastian-e-sportschochzitt
comedy,Octavie,M,,,,"Glaub nix. Bref, am Daa vor d'r Hochzitt isch'r nooch London gereist, for dort e Tennismatch mitzemache. E Depesch het'r gschickt: Weltmaischter worre",22,bastian-e-sportschochzitt
comedy,Hortense,F,,,,O — o! Isch'r nim kumme?,22,bastian-e-sportschochzitt
comedy,Octavie,M,,,,Un so wurd's dir au gehn.,23,bastian-e-sportschochzitt
comedy,Hortense,F,,,,"Tante, saa diss nim, sunscht verriss ich min Hochzittskleid in döüsig Fetze.",23,bastian-e-sportschochzitt
comedy,Octavie,M,,,,"Verriss-es. Besser eso, als Sportsfrau ze sin.",24,bastian-e-sportschochzitt
comedy,Hortense,F,,,,Jesses!,24,bastian-e-sportschochzitt
comedy,Octavie,M,,,,Was isch denn?,25,bastian-e-sportschochzitt
comedy,Hortense,F,,,,"d'Grossmame schafft an de Ring. Sie het e Hochstand gemacht, un isch an de Lüster getrette.",25,bastian-e-sportschochzitt
comedy,Octavie,M,,,,"An de Lüster? Püh, do hinne wurd's mer schwüel, ich muess frischi Luft schöpfe.",26,bastian-e-sportschochzitt
comedy,Hortense,F,,,,"Camille, Camille, kumm, erlös mich, loss mich nit sitze.",26,bastian-e-sportschochzitt
comedy,Octavie,M,,,,"Ho-ho-hortense, e De-depesch.|||Da, mach dü sie uff.",27,bastian-e-sportschochzitt
comedy,Hortense,F,,,,"E Depesch? E de-de|||Ich kann nit, ich rieder. Tante les, mach sie uff.",27,bastian-e-sportschochzitt
comedy,Octavie,M,,,,E Unglüecksdepesch? Arms Kind.,28,bastian-e-sportschochzitt
comedy,Conrad,M,,,,"Was isch denn?|||he Hortense!|||Octavie, was isch denn mit euch?",28,bastian-e-sportschochzitt
comedy,Octavie,M,,,,Zwai Jumpfere han zwai Ohnmachte.,29,bastian-e-sportschochzitt
comedy,Conrad,M,,,,"Plän dummi. Was hesch denn in d'r Hand? Ah, e Depesch.|||Je viens par Avion avec mon ami Gaston. Paris. Camille. Er kummt per Avion. So e Deifelskerl.",29,bastian-e-sportschochzitt
comedy,Hortense,F,,,,"Per Avion? Babbe, per Avion?",30,bastian-e-sportschochzitt
comedy,Octavie,M,,,,Wer isch der ami Gaston? Wer?,30,bastian-e-sportschochzitt
comedy,Hortense,F,,,,"Er kummt, er kummt. Babbe werf dich in de Staat. Gott, miner Camille kummt.",31,bastian-e-sportschochzitt
comedy,Conrad,M,,,,"Hortense, ich glaab dü bisch maschugge worre.",31,bastian-e-sportschochzitt
comedy,Octavie,M,,,,"Saa, wer isch der Gaston? Redd!",32,bastian-e-sportschochzitt
comedy,Conrad,M,,,,Was waiss denn ich.,32,bastian-e-sportschochzitt
comedy,Octavie,M,,,,"Hortense, kennsch dü 'ne, denne Gaston?",33,bastian-e-sportschochzitt
comedy,Hortense,F,,,,Ich kenn numme miner Camille. Mach doch nit so nervös.,33,bastian-e-sportschochzitt
comedy,Octavie,M,,,,"Gaston! Amend, wer waiss. So het'r g'haisse, der wo mich Tennis gelehrt het.",34,bastian-e-sportschochzitt
comedy,Hortense,F,,,,"Liebs Dandel, ich bin so glüecklich. Er kummt, er kummt, er isch schun do. Ich kenn siner Schritt.",34,bastian-e-sportschochzitt
comedy,Caroline,F,,,,"Bonjour, bonjour.",35,bastian-e-sportschochzitt
comedy,Hortense,F,,,,"Oh, d'Madam.",35,bastian-e-sportschochzitt
comedy,Caroline,F,,,,"Ja, soll ich's nit sin? Luej do 's Octavie.",36,bastian-e-sportschochzitt
comedy,Octavie,M,,,,Bonjour Schweschter.|||Dü siehsch jo üss wie e Mann.,36,bastian-e-sportschochzitt
comedy,Caroline,F,,,,Bisch denn als noch so altfränkisch? So altjumpferlich?,37,bastian-e-sportschochzitt
comedy,Hortense,F,,,,"Mame, d'r Camille kummt.",37,bastian-e-sportschochzitt
comedy,Caroline,F,,,,Was hab ich gsaat: d'r Camille het e Wort.,38,bastian-e-sportschochzitt
comedy,Hortense,F,,,,"Jaja, Mamele, geh, dueh dich aan, dummel dich.",38,bastian-e-sportschochzitt
comedy,Octavie,M,,,,"Gott, wenn 'rs wär. Min Herz klopft wie e Drumm.",39,bastian-e-sportschochzitt
comedy,Caroline,F,,,,Was babbelsch? Hesch dü Gschäfte mit-em Camille?,39,bastian-e-sportschochzitt
comedy,Octavie,M,,,,"Caroline, wenn dü widder e Frau bisch, redd ich mit dir.",40,bastian-e-sportschochzitt
comedy,Caroline,F,,,,Versteh ken Wort.,40,bastian-e-sportschochzitt
comedy,Hortense,F,,,,Entrez!,41,bastian-e-sportschochzitt
comedy,Président vum Fuessballe-Club « Etoile »,M,sports_club_president,associative_world,,"Hochverehrts Hochzittspaar — pardon, wo isch d'r Camille?",41,bastian-e-sportschochzitt
comedy,Hortense,F,,,,Er wurd im Moment do sin.,42,bastian-e-sportschochzitt
comedy,Président vum Fuessballe-Club « Etoile »,M,sports_club_president,associative_world,,"Pardon, ich bin starik bresiert. Im Name vum Füessballe-Club «Etoile» wüensch ich Ihne, un im verdiente membre Camille viel Glüeck zuem hittige Fraidedaa, un|||Zuem verehrungsvolle Zaiche|||Dueh ich denne Balle üewerreiche,|||Möcht er bringe Glüeck un Säje,|||D'Haam, un alle Fuessballwäje.",42,bastian-e-sportschochzitt
comedy,Hortense,F,,,,"Merci, Monsieur le Président. Ich wurr denne Balle im Camille an's Herz drücke.",43,bastian-e-sportschochzitt
comedy,Président vum Fuessballe-Club « Etoile »,M,sports_club_president,associative_world,,Un d'r Camille au.|||Bin starik bressiert.|||Hipp-hipp-Hurra!,43,bastian-e-sportschochzitt
comedy,Octavie,M,,,,"Siehsch, alli sin bressiert.",44,bastian-e-sportschochzitt
comedy,Hortense,F,,,,Entrez!,44,bastian-e-sportschochzitt
comedy,Président vum Fuessballe-Club « Etoile »,M,sports_club_president,associative_world,,"Mesdames! Im Uffdraa vun d'r Société de Gymnastique « Vivace », hab ich die Ehr als Président im junge Paar — wo isch denn 's ander Teil vum Paar? — herzliche Glüeckwüensch zu üewerbringe. 's Comité het bschlosse d'r lieb Hors-concours Camille als membre d'honneur ze ernenne, un d'membres vun d'r Societät han im Camille als chef vun d'r Claironsektion diss Clairon gschtift. 's Comité hofft, dass Sie, ihri Kinder un Kindeskinder membre actif wäre.|||Denn d'Gymnastik macht starki Glidder,|||Un Nerve grad wie Stacheldroht,|||Vor d'Gymnasiens förcht sich's Gewitter,|||In viele Fäll sogar d'r Tod.",45,bastian-e-sportschochzitt
comedy,Hortense,F,,,,Merci vielmols Monsieur le Président. Ich wurr alles im Camille üssrichte.,45,bastian-e-sportschochzitt
comedy,Président vum Fuessballe-Club « Etoile »,M,sports_club_president,associative_world,,"Exküsiere Sie liewi Hochzittere, ich hab noch schnell e Concours ze organisiere.",46,bastian-e-sportschochzitt
comedy,Octavie,M,,,,"Der isch au bressiert. M'r maant alli han 's Laufe. Naan, so e Theater.|||Wo blost mer denn nyn?",46,bastian-e-sportschochzitt
comedy,Hortense,F,,,,"Gib her, ich will dir's zaje.",47,bastian-e-sportschochzitt
comedy,Octavie,M,,,,Hortense dü wursch doch nit!,47,bastian-e-sportschochzitt
comedy,Hortense,F,,,,Was mich d'r Camille gelehrt het!,48,bastian-e-sportschochzitt
comedy,Octavie,M,,,,Hör uff!,48,bastian-e-sportschochzitt
comedy,Octavie,M,,,,,49,bastian-e-sportschochzitt
comedy,Conrad,M,,,,Was isch denn diss for e Grambol?,49,bastian-e-sportschochzitt
comedy,Hortense,F,,,,"Herrjeses! Babbe, dü hesch jo dini Hosse vergesse.",50,bastian-e-sportschochzitt
comedy,Conrad,M,,,,"Was d'Hosse?|||E Nundebibb! So isch's, wenn mer sich dummelt.",50,bastian-e-sportschochzitt
comedy,Octavie,M,,,,Grossmame hör uff!|||In dem Hüss isch alles letz.,51,bastian-e-sportschochzitt
comedy,Grossmame,F,,,,"Mit Müsik isch's viel besser gange.|||Au, miner gross Zeh",51,bastian-e-sportschochzitt
comedy,Hortense,F,,,,Un d'r Camille isch als noch nit do.,52,bastian-e-sportschochzitt
comedy,Octavie,M,,,,"Gschbannt bin ich, wer jetzt kummt.",52,bastian-e-sportschochzitt
comedy,Hortense,F,,,,Entrez!,53,bastian-e-sportschochzitt
