drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name
comedy,EDI,M,,,,"Wàre mir jetz doch,|||Wàre mir jetz doch erlöst,|||Erlöst emol!",0,lustig-bi-de-wilde
comedy,JETTELE,F,,,,"Dü kasch passe noch,|||Dü kasch passe noch, das weisch,|||Das weisch Dü wohl!",1,lustig-bi-de-wilde
comedy,JETTELE,F,,,,"Mir sin halt beide so|||Mit alle G'fohre|||Uf dàre-n-Insel do|||Im Meer verlore,|||Mr sin im Meer verlore!",2,lustig-bi-de-wilde
comedy,EDI,M,,,,"Mir sin halt beide so|||Mit alle G'fohre|||Uf dàre-n-Insel do|||Im Meer verlore,|||Mr sin im Meer verlore!",3,lustig-bi-de-wilde
comedy,EDI,M,,,,Kàm nur e Schiff ku z'fahre|||Un thàt uns doch ufnàh!,4,lustig-bi-de-wilde
comedy,JETTELE,F,,,,"'s thàt uns viel Leid erspare,|||Das ha-n-ich längst scho g'sàh!",5,lustig-bi-de-wilde
comedy,JETTELE,F,,,,"Doch wenn's noch geht so lang,|||Wie's jetz scho gange-n-isch,|||So wird's uns g'wiss noch bang.|||Bi unsrer Kost vo Fisch!",6,lustig-bi-de-wilde
comedy,EDI,M,,,,"Doch wenn's noch geht so lang,|||Wie's jetz scho gange-n-isch,|||So wird's uns g'wiss noch bang.|||Bi unsrer Kost vo Fisch!",7,lustig-bi-de-wilde
comedy,EDI,M,,,,"Wenn mir doch nur d'heim wieder wàre,|||Wie wotte mir|||so glicklig si!",8,lustig-bi-de-wilde
comedy,EDI,M,,,,"Mir hätte-n-ab e Last, e schwere,|||Mir kàmte g'wiss|||nimm z'ruck dohi!|||Doch wenn's noch geht so lang,|||Wie's jetz scho gange-n-isch,|||So wird's uns g'wiss noch bang|||Bi unsrer Kost vo Fisch.",9,lustig-bi-de-wilde
comedy,JETTELE,F,,,,"Mir hätte-n-ab e Last, e schwere,|||Mir kàmte g'wiss|||nimm z'ruck dohi!|||Doch wenn's noch geht so lang,|||Wie's jetz scho gange-n-isch,|||So wird's uns g'wiss noch bang|||Bi unsrer Kost vo Fisch.",10,lustig-bi-de-wilde
comedy,EDI,M,,,,"Wenn mir doch nur d'heim wieder wàre,|||Wie wotte mir|||so glicklig si!",11,lustig-bi-de-wilde
comedy,EDI,M,,,,"Mir hätte-n-ab e Last, e schwere,|||Mir kàmte g'wiss|||nimm z'ruck dohi!|||Doch wenn's noch geht so lang,|||Wie's jetz scho gange-n-isch,|||So wird's uns g'wiss noch bang|||Bi unsrer Kost vo Fisch!",12,lustig-bi-de-wilde
comedy,JETTELE,F,,,,"Mir hätte-n-ab e Last, e schwere,|||Mir kàmte g'wiss|||nimm z'ruck dohi!|||Doch wenn's noch geht so lang,|||Wie's jetz scho gange-n-isch,|||So wird's uns g'wiss noch bang|||Bi unsrer Kost vo Fisch!",13,lustig-bi-de-wilde
comedy,Herr SCHNELL,M,,,,"Jetz, Franz, wo si mr?... ich glaüb, mr känne dr Robinson spiele, denn 's schint mr e-n-Insle z'si, wo Nieme druf isch... jetz stecke mr in schöne Schüeh!...",14,lustig-bi-de-wilde
comedy,FRANZ,M,,,,"In nasse stecke mr uf jedefall... isch jetz das fatal,|||eso Schiffbruch z'lide mittle-n-uf em Meer!...",15,lustig-bi-de-wilde
comedy,Herr SCHNELL,M,,,,Natirlig uf em Meer... d'heim in dr Stuwe kasch alleweg nitt Schiffbruch lide!...,16,lustig-bi-de-wilde
comedy,FRANZ,M,,,,"Worum si mr awer o furt vo d'heim! Worum hà mr welle Di Tochter, mi Cüsine, wo mit ihrem Liebhawer uf un dervo isch, geh süeche in Amerika... jetz hà mr's... oh! we mr doch nur wieder z'Milhüse wàre in dr Fröscheweid!",17,lustig-bi-de-wilde
comedy,Herr SCHNELL,M,,,,"Bisch Dü nitt o vo dr Familie?... geht's Dich nitt a wie mich, wenn Ihre-n-Ehr in G'fohr isch... un Dü hättsch doch Di alter Oncle nitt welle-n-allei geh lo...",18,lustig-bi-de-wilde
comedy,FRANZ,M,,,,"Mir hätte jo mitnander känne d'heim bliwe... wer weisst, wo 's Jettele ane-n-isch mit sim Edi...",19,lustig-bi-de-wilde
comedy,Herr SCHNELL,M,,,,"Nach Amerika sin se!... De weisch jo, ass me se g'sàh hat ischiffe vor drei Monet... wenn ich's awer g'wisst hätt, so wàr ich eher furt... De weisch, wenn ich ebbes im Kopf ha, so müess es gli g'macht si!",20,lustig-bi-de-wilde
comedy,FRANZ,M,,,,"'s hat is viel g'nutzt jetz, ass mr furt sin...",21,lustig-bi-de-wilde
comedy,Herr SCHNELL,M,,,,"Bàh... was g'schàh isch, das isch g'schàh... was nutzt jetz das jomere!... mr wànn liewer e-n-Unterschlupf süeche-n-un trachte, ass mr nitt in e paar Menschefresser in d'Hànd laüfe, wo viellicht uf dàre-n-Insle kännte si... (er lüegt ummenander) was ha-n-i g'sàit... schaü, do mien no nitt lang e paar gsi si an dem Fir, denn 's raücht noch e wenig!... jetz heisst's ufpasst, we mr wànn unsere Côtelettes wieder uf Milhüse z'ruck bringe!",22,lustig-bi-de-wilde
comedy,JETTELE,F,,,,"Mir mien is vor de Wilde hiete,|||Denn 's isch glaüb do nitt g'hir,|||In dàre-n-Asche sin noch Gliethe,|||Se hàn do g'ha ne Fir;|||Drum nur Achtung gà,|||'s derf uns Keiner sàh,|||Denn 's geht um dr Hals|||Un dà brücht me-n-als.|||Mir mien is vor de Wilde hiete,|||Denn 's geht um unser Hals.|||Guldig sin d'Wilde z'Milhüse d'heim;|||Die do, die hüse doch z'wiescht mit eim;|||Drum nur Achtung gà,|||'s derf uns Keiner sàh,|||Denn 's geht um dr Hals|||Un dà brücht me-n-als!|||Mir mien is vor de Wilde hiete,|||Denn 's geht um unser Hals.",23,lustig-bi-de-wilde
