drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name
comedy,Amalie Schneider,F,,,,"Oh — isch diß awwer e scheeni Gschicht gsin, — numme schad, daß sie sich nit kreijt hann — zue schad! — Die arm Gab- rielle — —|||O jr- rum! — schun so spoot? — Un ich bin noch nit emole mol coiffiert! — Sälmel! — Sälmel!",0,hahn-jungi-madamme
comedy,Sälmel,F,,,,"Was beliebt, Madame?",0,hahn-jungi-madamme
comedy,Amalie Schneider,F,,,,Wo bliet denn d’coffeuse hitt?,0,hahn-jungi-madamme
comedy,Sälmel,F,,,,"Ei, sie isch jo do gewänn, awwer d'Madame hett jo gseit, sie soll numme widder gehn, sie hätt kein Zitt.",0,hahn-jungi-madamme
comedy,Amalie Schneider,F,,,,"Herje, ja — ‘s isch jo wohr — och mit däre dumme Gschicht — wie ischs mit'm Esse, Sälmel? jetz isch's dreiviertel uff Zwelf!",1,hahn-jungi-madamme
comedy,Sälmel,F,,,,"Ich mein ‘s Rindfleisch wurd nem weich, wenn‘s schun so spoot isch — ich hab's erscht vor ‘re halwe Stund in de Hafe gemacht —",1,hahn-jungi-madamme
comedy,Amalie Schneider,F,,,,Erscht?,1,hahn-jungi-madamme
comedy,Sälmel,F,,,,"Ei jo, d’Madame hett jo gseit, sie bsorgt‘s — I hab halt d‘r Gang un d'Stay gebutzt, ‘s isch doch Samschdeu —",1,hahn-jungi-madamme
comedy,Amalie Schneider,F,,,,"Herrjeses — haw ich awwer jetz d‘Zitt versümt — in ‘re Stund wurd‘s Rindfleisch nit weich, hein?",2,hahn-jungi-madamme
comedy,Sälmel,F,,,,"Ich glöub nit, Madame!",2,hahn-jungi-madamme
comedy,Amalie Schneider,F,,,,Was mache m'r jetz?,2,hahn-jungi-madamme
comedy,Sälmel,F,,,,I weiß nit!,2,hahn-jungi-madamme
comedy,Amalie Schneider,F,,,,"Dräje Sie de Gas guet uff, daß es tichtig kocht, villicht packt's es noch — ah! — warte Sie mol — ich hab schun ghört, wenn m‘r Süd an‘s Gemues macht, wurd's schneller weich, — wenn m‘r e bissel an d‘Supp mache dät — ich mein m'r dät's nit schmecke — daß ‘s Fleisch weich dät wäre —",3,hahn-jungi-madamme
comedy,Sälmel,F,,,,I weiß nit!,3,hahn-jungi-madamme
comedy,Amalie Schneider,F,,,,Scheele Si jetz emol e Will d‘Grum- beere — ich kumm d‘rno.,3,hahn-jungi-madamme
comedy,Sälmel,F,,,,"Ja, Madame!|||Deß wurd m'r widder e natts Gfraß gann.",3,hahn-jungi-madamme
comedy,Amalie Schneider,F,,,,Hett Sie ebs gsaat?,4,hahn-jungi-madamme
comedy,Sälmel,F,,,,Ich mein d’Grumbeere hänn noch e bissel Zitt —ich könnt noch gscwind s‘Schloofzim- mer mache — d‘Madame hett‘s hitt doch nit ge- maacht.,4,hahn-jungi-madamme
