drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name
comedy,Jacques,M,valet,elementary_professions,lower_class,"Jaja, Madam. — 's isch guet, Madam! — 's wurd bsorjt, Madam!|||Wenn unseri Madam bekumme däet was ich ere wünsch, no müeßt se emol vor alle Dinge jede Daa e Kilo zünämme, bis se am e schöene Daa v'rknelle däet wie e gebrooteni Bluetwurscht. Die Hawwergais, die Häriseel, die Linsespaltere und Pfennifuchsere, die — — die gifti Krott, die miserawel! — Pardon! — Wenn ich mich v'rzürne wott, ze däet ich ere noch ebs ganz anderschs v'rzähle! Aw'r naan, ich will mir mini Ruehj reserviere. Nit daß ich mir wäeje Dere 's Läwe süür mach! — 's falt m'r in! — So ebs daet ere jo basse! — Denn uff dies geht se üs, Daa fer Daa. kann ich ebs d'rfür, daß ich numme valet de chambre bin?! - kann sie ebs d'rfür, daß sie Madam isch worre?! — Worum isch's nit umgekehrt?! — Worum ich sie nit valet de chambre und ich d'Madam?!-|||Aha! — Sie schellt wid'r emol e Düür, unseri Madam ! — Die lebt jo nit ruehji, wenn se merkt, daß Unseraans emol e bissel schnüüfe köent.",0,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,"Oh, dies schöene Rösele. Gescht noch so nätt geblüejt, und hyt schun welk! —|||— O ja, so isch's halt emol uff d'r Welt! — So geht's mit de Rose — so geht's mit de Maidle. M'r blüehjt — m'r wurd umschwärmt — m'r v'rwelkt — un wurd gemiede!",1,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,Uh! Do gitt's Schärwe?!,2,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,"|||E Millonezunderschtzewwerst soll d'rzwische nin bängle, aans vun unte un aans vun owwe — wenn's will!!!",3,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,"Aha, 'skracht in d'r Kiche, no wurd's au bal rauche!",4,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,Hoppla! — Was hawich nit gsaat? — 's raucht schun!,5,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,"Jo riß d'Schell vun d'r Wand erab, alter Nißkraawe!",6,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,"Oho, Jacques, so böes gelüünt?",7,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,"Wenn ich nin kumm, ze riß ich ere diesmol d'Barriek vum Schäddel, daß se au emol weiß, was schelle heißt!",8,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,"'s isch nit halwer eso schlimm. Wenn'r nin kummt, no isch wied'r d'Madam hinte un d'Madam vorne. — Ja, d'r Jacques! — Hahaha! Er isch e Dschori! — E guetmuethiger Dschorit -E aanfältiger Dschori! — Er het's grad wie die Hund, wie erscht's Herz han ze belle, wenn sie innewendi hinterem guet v'rrejelte Hofdärel stehn! — Haha! — Mit so eme Mann wär guet läewe. — So aaner dhät sich zehje loon, so wie m'r 'ne gern hätt. — Alt genuej zum hyroothe wär 'r juschtemend, un ich glaab küm, daß ich's 'm abschlaawe dhäet! — Er het e paar Fränkle uff d'r SparkaB, ich hab min Gedüech un e Bettlad — brücht m'r sunscht noch vielerlei mehr fer de Anfang? — Was noch fehlt, schafft m'r sich so v'rplämpelterwies an. — E Hauptbedingung isch numme: m'r mueß z'halb Zweit sin zem hyroothe, un — — — ım'r mueß enander welle. —|||— M'r mueß enander welle?! —|||— Wie wenn ich de Jacques nit wott?! — O Gott, o Gott, o Gott!",9,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,"Ich gieb's 'm jo jede Daa dytli genüej ze v'rstehn, aw'r er merkt nix! — Er merkt nix!",10,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,Wer merkt nix?,11,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,"Aw'r Jacques, wie kann m'r numme eso schliche?!",12,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,Schliehe? — Un d'rbie saat d'Madam alle gelte zue m'r: ich däet dappe wie e Elephant?!,13,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,Die het jo ihrer Läwe noch gar kaan Elephant gsehne! — Sie renomiert halt gern mit ihre astronomische Kenntnisse.,14,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,Aw'r numme fer mir 's Läwe süür ze mache. — Sie kann mich halt nit schmecke. — Ich sie aw'r au nit!,15,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,"Rej Dich doch nit uff, Jacques. — Het se 's mit mir nit 's nämli? Dhuet se mich nit au d'halb Zyt ärjere un küjoniere, daß ich grüen un gääl könnt wäre vor Pläsier? — M'r mueß aw'r allewiel bedenke: wenn d'r Mensch ins Alter kummt, no wurd'r wunderli. — Unseri Madam — — —",16,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,isch ewwe e-n-alts Mensch!,17,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,Aw'r Jacques!,18,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,"Ei na, sie isch doch kaan Stück Vieh?",19,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,"Geh, schäm Dich doch e bissel, Jacqes! Ich hab ewwe numme welle saawe: unseri Madam het ihri Lüüne zyttwies un randswies, wie dies ewwe 's Alter eso mit sich bringt. — Wenn se aw'r d'rnoo ihri ""Rootschläej"" uff uns los renne loßt, no loon mir se ewwe ze aam Ohreläppel nin un zem andere wied'r nüs schnärre. — Schmerzlos!",20,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,"Jaja, 's isch alles räecht, un ich will unserer Madam au nix schläechts wünsche — - behüet selle m'r sin — aw'r Pläsier dhäet's m'r halt mache, wenn ere emol e Elephant mit glichlinge Füeß uff de Mauue hüpse däet! — — —",21,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,Aw'r Jacques!,22,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,"Numme daß se 's inne dhäet wäre, was unter eme Elephant v'rsteht, der alt Pomad- hafe!",23,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,Höer Jacques — jetz — jetz will ich — jetz will ich Dich ebs fröije.,24,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,Ja? — Was denn?,25,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,"Jacques, Dü wit doch ganz sicher nit diner Läwelang d'Füeß unter fremdi Lyt ihrer Disch strecke?",26,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,"Naan, ganz sicher nit.",27,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,Un speziell do in dem Hüs gfallt's D'r nimmi erächt?,28,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,"Naan, ganz und gar nimmi.",29,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,Un schun lang nimmi? Gell nit?,30,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,Schun arig lang nimmi.,31,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,"Maansch, — mir au nimmi.",32,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,Dir g'fallt's au nimmi? -Oho?-,33,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,"Aw'r Jacques, hesch denn noch nix gemerkt?!",34,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,Abah.,35,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,Hesch denn iewerhaupt noch gar nie ebs gemerkt?,36,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,Kaan Krimmele.,37,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,Aw'r Jacques!,38,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,"Ja dü liewi Zytt, was hawich denn merke selle? — M'r macht sini Arweit de Daa iewer, loßt sich alle finf Minüte vun d'r Madam anhüche und abkanzle, daß m'r üs d'r Hüt erüsfahre un sich trüri d'rnäwe setze möecht; m'r plänkelt uff de Fyrowe — — un so gehn aam no die Dääj erum-",39,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,"Ja, so gehn aam d'rnoo die Dääej erum, un d'rbie wurd m'r no als älter un älter — jaja - — —",40,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,"'s isch au schun e schöeni Zyt here, zyter aß Dini Konfermation gemacht hesch, gell Marie?",41,riff-s-paradies
comedy,Marie,F,lady’s_maid,elementary_professions,lower_class,Dies isch's jo grad.,42,riff-s-paradies
comedy,Jacques,M,valet,elementary_professions,lower_class,Was denn?,43,riff-s-paradies
