drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name
comedy,Brummer,M,rentier,rentiers,upper_class,"Wenn ich mich nitt drumbier, ze muess’s Narrehüss do in d’r Gejed sinn !",0,jost-daa-im-narrehuss
comedy,Brummer,M,rentier,rentiers,upper_class,"Ah, do kummt jo ebber !|||Pardon, kenne Sie mir saawe, wo d’Irre-Anstalt isch ?",0,jost-daa-im-narrehuss
comedy,E Passant,M,,,,"Nein, leider nitt !",1,jost-daa-im-narrehuss
comedy,Brummer,M,rentier,rentiers,upper_class,"Awer ’s nächscht Wirtshüss, diss dhät’r wisse !",1,jost-daa-im-narrehuss
comedy,E Passant,M,,,,"Monsieur, meine Sie am End ’s Narrehüss ?",2,jost-daa-im-narrehuss
comedy,Brummer,M,rentier,rentiers,upper_class,"Gewiss, diss suech ich jo!",2,jost-daa-im-narrehuss
comedy,E Passant,M,,,,"Ja, wo diss isch, weiss ich nämlich au nitt!",3,jost-daa-im-narrehuss
comedy,Brummer,M,rentier,rentiers,upper_class,"Awer zyttig sinn Sie, fur’s ball ze wisse ! Na, ich wurr’s schun finde ! No will ich awer im Monsieur Nervich, wo Dokter drinne-n-isch, schun de Marsch bloose !|||: Nitt nummen-ass’r hinter mym Buckel mit mynere Dochter e Techtelmechtel ang’fange hett, nein, jetzt fröjt’r mich au noch do in dem Brief um d’Hand vum Octavie ! Schamä! E|||Narredokter kummt nitt in d’Famili Brummer ! Ihnne mache d’Kranke verruckt, er macht no myni Dochter verruckt unn die schliesslich noch mich — nein, so verruckt bin ich jetzt doch nitt ! Warte Sie, Herr Dokter, ich kenn Sie zwar noch nitt, awer hytt solle Sie mich kenne lehre, selbscht wenn’s Octavie noch so verruckt in Sie isch unn Sie noch so narrächt ins Octavie sinn ! E Narredokter ! M’r saat nitt umesunscht: « Sage mir, mit wem du umgehst, und ich will dir sagen, wer du bist!» Iwerhaupt, was verstehn d’junge Lytt vun d’r Lieb? Do g’heert Erfahrung dezue! Ich habb d’Lieb au erscht g’funde, wo myni erscht Frau dood isch g’sinn. In d’r Biwel steht bekanntlich: «Wen Gott liebt, den straft er!» Na, uff myni erscht Frau angewend, muess ich directement de Fifi vum liewe Herrgott gewänn sinn! Hoffetlich breche-n-awer jetzt besseri Zytte an, denn durich e Zyttungs-Annonce steh ich dato mit’re Mamsell im Briefwechsel ; denne-n-Oowe haw ich’s erscht Rendezvous mit’re, na, unn wenn d’Mamsell Euphrosine Bendélé nooch mym goût isch, ze wurd halt widder g’hyroot, awer nitt üss Verrucktheit, so wie d’junge Lytt! Die solle mit’m Hyroote liewer warte, bis ass s’e-n-au emool Wittmann sinn !",3,jost-daa-im-narrehuss
comedy,D’Stimm vum e Papegei,U,,,,"Wo isch’s Lorele? Da, Lorele, do hesch de Zuckerle !",4,jost-daa-im-narrehuss
comedy,Brummer,M,rentier,rentiers,upper_class,Wer isch denn diss?,4,jost-daa-im-narrehuss
comedy,D’Stimm vum e Papegei,U,,,,Lorele ! Gibb mir e Schmitzele !,5,jost-daa-im-narrehuss
comedy,Brummer,M,rentier,rentiers,upper_class,"Ah, do owe huckt jo e Papegei, wo schynnt’s in ebber furtg’flöje-n-ich ! E zü scheens Dierele !|||Lorele, kumm! Do isch Zuckerle !",5,jost-daa-im-narrehuss
comedy,D’Stimm vum e Papegei,U,,,,Lorele will Kueche !,6,jost-daa-im-narrehuss
comedy,Brummer,M,rentier,rentiers,upper_class,"E gelehrig’s Dierele ! Ich muess’s unbedingt fange, denn diss arm Vieh kummt jo in d’r Frejheit um!|||Kumm scheen, Lorele ! Kumm, schunscht fange dich d’beese Katze!|||Jo, ’s lejt’m an !",6,jost-daa-im-narrehuss
comedy,D’Stimm vum e Papegei,U,,,,"Lorele, kumm !",7,jost-daa-im-narrehuss
comedy,Brummer,M,rentier,rentiers,upper_class,"’s wär direkt e Verbreche, so e schlöj’s Dierele umkumme ze lonn !",7,jost-daa-im-narrehuss
comedy,E’n Arweiter,M,labourer,unknown,lower_class,"Heiliché, haw ich e Durscht!|||Ich will g’schwind do am Eck e Seidel schlutze gehn !",8,jost-daa-im-narrehuss
comedy,Brummer,M,rentier,rentiers,upper_class,"Dem Vöjel kann ich lang ebbs vormache ! Ah, do lejt jo e Leiter ! Jetzt bekumm ich denne Babbelfritz doch.|||: Lorele, sej brav! — Kumm scheen zuem Herrele!",8,jost-daa-im-narrehuss
comedy,E Gauner,M,conman,unknown,lower_class,"M’r saat jo, ’s Geld lejt uff d’r Strooss ! Zwanzig Fränkle bekumm ich allewyll noch fur die paar Brocke !",9,jost-daa-im-narrehuss
comedy,Brummer,M,rentier,rentiers,upper_class,"Lorele, ze kumm doch — baddabing ! d’Leiter isch ze kurz !",9,jost-daa-im-narrehuss
comedy,1. Wärter,M,custodian_(asylum),elementary_professions,lower_class,"Was Dejfels, ich glabb gar, do rysst einer vun unsere Verruckte üss !|||Ja, Mann, was mache denn Sie do?",10,jost-daa-im-narrehuss
comedy,Brummer,M,rentier,rentiers,upper_class,Pscht ! Stille! Ich habb e Vöjel !,10,jost-daa-im-narrehuss
