drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name
comedy,Hanstiabelt,M,farmer,agriculture,lower_class,"Mariurs, es isch wia i gsait ha: Dr Jörg müass hirote. Viellicht wird er derno gscheiter. Sag, wia alt bi eigetlig ich gsi, wu i ghirote ha?",0,sengelin-d-mamsell-elis
comedy,Mariurs,F,,,,"Eh, am Schnitzzischtig wirds wohl so witt si, as mer dr drissigjahrig Kriag fire kennte. Dü wirsch jetz 60, eh bien rachne üs !",0,sengelin-d-mamsell-elis
comedy,Hanstiabelt,M,farmer,agriculture,lower_class,"Das ware 30! Nüdlewatter! Geht die Zitt ume. Was fir e natt Maidle bisch dü sallmols gsi! Un jetzt brr, me seht dr nimme viel drvo a|||.",0,sengelin-d-mamsell-elis
comedy,Mariurs,F,,,,"Heb di an diner Nase, Hanstiabelt. Meinsch ebbe, dü seisch no so üstrait wia salmols. Wenn dü so Rumpfle gha hatsch wie hit un so e Laternenasle, dü hatsch misex vergabe gschmüst.",0,sengelin-d-mamsell-elis
comedy,Hanstiabelt,M,farmer,agriculture,lower_class,"Hoho Alti, wird mer numme nit bes wage dam Gspass. Han mer net e schen Labe gha die 30 Johr dure|||.",0,sengelin-d-mamsell-elis
comedy,Mariurs,F,,,,"Gang ewag, alter Narr!|||.",0,sengelin-d-mamsell-elis
comedy,Hanstiabelt,M,farmer,agriculture,lower_class,"Wage mir, alter Narr! Äbä, so e glückliger alter Narr, wia ich ein bi, sell unser Jörg o emol einer warde; er müass hirote, er isch so grad in dam Alter wu ich sallemols. Uff d' Weisheitszähn könne mer nit warte bi em, ’s Warte kennt eim sunscht verdriesse.",1,sengelin-d-mamsell-elis
comedy,Mariurs,F,,,,"E, müasch en nit no dümmer mache, as er isch. Wenn er numme nit so e grisliger Wiaschreder war; i färcht übel, er bringts nit färig, im e Maidle schen zrede. Ä Muni an dr Hörner packe, das ka er besser, TERN",1,sengelin-d-mamsell-elis
comedy,Hanstiabelt,M,farmer,agriculture,lower_class,"Oh, wage salem brüchsch ke Kummer zha. Schen rede brücht er gar nimme. Ich ha em o scho eini üsgsüacht. Er brücht sich numme ge vor- stelle un so Sache.",1,sengelin-d-mamsell-elis
comedy,Mariurs,F,,,,"A, Alter, hinter mim Rucke machsch dü so Dings! Ha ich do nit dri zrede, sag?",1,sengelin-d-mamsell-elis
comedy,Hanstiabelt,M,farmer,agriculture,lower_class,"Heh, wage dam sag i dirs jo jetz. Mach doch ke Gschichte un so Sache!",1,sengelin-d-mamsell-elis
comedy,Mariurs,F,,,,"Jetz, jetzt, wus färig isch!!|||Gschichte un so Sache! Gschichte un so Sache! Wer macht dumme Gschichte? Dü! Hat mer scho emo lghört sinerlabtig, as e Müater nit sell sage bim Hirote vo me Kind? Hein? Wenn si aber mir nit gfallt, dia Suhnsfraui? Hein?",1,sengelin-d-mamsell-elis
comedy,Hanstiabelt,M,farmer,agriculture,lower_class,"Se gfallt dr aber sicher, sag i dr. ’s isch im Maier vo Schendorf si Tochter, anzig Kind, Lisi heisst’, edder eigetlig Elis in ihrem Hüs. 's isch e nobli, mei, ’s isch kenni so z’ Krönige, nit emol im Säitrankehans sini. Si spielt Klavier wie dr Schül- meischter, singt wie e Vegele, ka brodiere, Umhangle häckle, un so Sache.",2,sengelin-d-mamsell-elis
comedy,Mariurs,F,,,,"So, so! Un naje, stricke, koche, uff em Fald schaffe, ka se sal 0?",2,sengelin-d-mamsell-elis
comedy,Hanstiabelt,M,farmer,agriculture,lower_class,"Därt kennt i grad nit Täifel schwöre, i glauib sogar, sie isch nit bsunders stark in dane Artikel. Aber zeig, Mariurs, hett im Jörg si Fraui denn di Sache o nötig? ’s isch e richi un ar hett o Mumes|||, do kenne se jo e Magd halte un so Sache!",2,sengelin-d-mamsell-elis
comedy,Mariurs,F,,,,"E Magd? E Magd? Baberlabab! Weisch, wie mi Grossmüater als gsait het? In dam Hüs geht’s sicher schlacht, Wu d' Fraui nit mache ka dr Knacht.",2,sengelin-d-mamsell-elis
