drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name
comedy,Mélanie Müller,F,,,,"Gell Schweschter, unseri Verlowungskärtle sin ari schoen worre.",0,stoskopf-wenn-d-fraue-wahle
comedy,Emile Schwartler,M,rentier,rentiers,lower_middle_class,"Mélanie Müller — Ferdinand Dinterich, fiancé. — C'est très-bien comme ça.",0,stoskopf-wenn-d-fraue-wahle
comedy,Ferdinand Dinterich,M,,,,"Jetzt welle mir sie au noch schnell druewe minere Schweschter zeihje. Sie muess sie au sehn, un d'rno gehn m'r zuem Tennis.",0,stoskopf-wenn-d-fraue-wahle
comedy,Emile Schwartler,M,rentier,rentiers,lower_middle_class,"Es frait mich, dass unseri zwei Famelje durich Ejri Hierot noch nähter mitnander verwandt wäre.",0,stoskopf-wenn-d-fraue-wahle
comedy,Ferdinand Dinterich,M,,,,"Ja, m'r welle gehn, m'r sin arig pressiert ! Au revoir!",0,stoskopf-wenn-d-fraue-wahle
comedy,Emile Schwartler,M,rentier,rentiers,lower_middle_class,"Ich benied 's Mélanie. Diss bekummt doch wenigschtens kenn so alte Brummelhafe, wie ich eine hab.|||Entrez! — Mehl|||: Bonjour chère Cousine!",0,stoskopf-wenn-d-fraue-wahle
comedy,Emile Schwartler,M,rentier,rentiers,lower_middle_class,Bonjour cher Cousin!,0,stoskopf-wenn-d-fraue-wahle
comedy,Mehl,M,merchant,service_and_sales,lower_middle_class,"E grossartigi Nouvelle! E glänzendi Nouvelle! — 's Gsetz, 's nej Wahlgsetz uewer d’Wählbarkeit vun de Fraue-n-isch mit grosser Mehrheit im Senat durich- gange un wurd schun bie de nächste Gemeinderats- wahle, wie in drej Woche sin, in Kraft trette ! Madam Schwartler|||: A la bonheur! Diss isch jetzt emol jo e gueti Nouvelle! Endlich bekumme d'Fraue au e Plätzel an d'r Sunn ! — Endlich emol e vernünftigs G'setz !",0,stoskopf-wenn-d-fraue-wahle
comedy,Mehl,M,merchant,service_and_sales,lower_middle_class,"Un e galants G’setz! M'r muess 's saaue, d’Legis- lateurs vun hytt, sin viel galanter wie die üs früeh- jere Zytte !",0,stoskopf-wenn-d-fraue-wahle
comedy,Emile Schwartler,M,rentier,rentiers,lower_middle_class,Il n'est jamais trop tard pour bien faire !,0,stoskopf-wenn-d-fraue-wahle
comedy,Mehl,M,merchant,service_and_sales,lower_middle_class,"Um numme zwei Punkt hervorzehewe: Erschtens muess d'r Mann d’Wahlkoschte bezahle for d’Frau, wenn sie candidiert.",1,stoskopf-wenn-d-fraue-wahle
comedy,Marie,F,,,,"Diss isch eijentlich selbstverständlich, wer denn sunscht ? — Ebbe e Hüsfrind oder d'Arme- verwaltung ?",1,stoskopf-wenn-d-fraue-wahle
comedy,Mehl,M,merchant,service_and_sales,lower_middle_class,D’rno isch e ganz intressanter Passage drinne uewer e ganz spezieller Fall.,1,stoskopf-wenn-d-fraue-wahle
comedy,Emile Schwartler,M,rentier,rentiers,lower_middle_class,Ich bin g'spannt wie e Bareblie.,1,stoskopf-wenn-d-fraue-wahle
comedy,Mehl,M,merchant,service_and_sales,lower_middle_class,"Eh bien, wenn zuem Biespiel Mann un Frau ze glicher Zytt sich uffstelle.....",1,stoskopf-wenn-d-fraue-wahle
comedy,Emile Schwartler,M,rentier,rentiers,lower_middle_class,"Na, diss hätt ich nit ze reskiere. Diss Wahlcomité möcht ích kenne, wie minne Mann uff- stelle tät !",1,stoskopf-wenn-d-fraue-wahle
comedy,Mehl,M,merchant,service_and_sales,lower_middle_class,Awer so Fäll sin doch denkbar.,1,stoskopf-wenn-d-fraue-wahle
comedy,Emile Schwartler,M,rentier,rentiers,lower_middle_class,"Zell schun. Mehl; Eh bien, for die spezielle Fäll kann durich e soge- nannts Notgericht e Scheidung innerhalb acht Daa üs- g’sproche wäre.",1,stoskopf-wenn-d-fraue-wahle
