drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name
comedy,Madame TÜRK,F,,,,"Mine Hànschig, mi Eventail... ich ha glaüb alles... jà so... mi brodiert Nastüech... ich ha mi brodiert Nastüech vergesse... jetz müess ich wieder in dr dritte Stock ufekràbse... wenn ich awer dr Portner thàt schicke?...|||Herr Tschobe!... Herr Tschobe!...",0,lustig-uf-bsuech-bi-dr-frau
comedy,Dr Portner vom Hotel,M,doorman,elementary_professions,,"Was b'liebt, Madame Türk?",0,lustig-uf-bsuech-bi-dr-frau
comedy,Madame TÜRK,F,,,,"Sin Se doch so güet un nàmme Se mi Schlissel un hole Se mr mi brodiert Nastüech in mim Zimmer, 's ligt uf em Tisch...",0,lustig-uf-bsuech-bi-dr-frau
comedy,Dr Portner vom Hotel,M,doorman,elementary_professions,,"Glich, Madame Türk... ich will nur noch dr Katz d'Milch blose...",1,lustig-uf-bsuech-bi-dr-frau
comedy,Madame TÜRK,F,,,,"Dummle Sie sich, ich wart uf Se... wenn ich nur nitt z'spot bi... ich glaüb nitt...|||'s isch erst am Nine, wo mich dr Herr Dampf soll ku abhole... do sàit er jo, ass er hit z'Nacht am Nine d'Ehr wird ha, mich abz'hole, fir mich züe dàne Herre|||z'fiehre, wo-n-ich gern hätt, ass mi Mann Diràcter thàt werde... er meint noch, se werde-n-in eso schöne-n-Aüge nit refüsiere känne, un doch isch's jetz scho vierzeh Tàg, ass me mir allewil verspricht... un dà Herr Dampf hat mich ag'lüegt gestert uf e bedenklige Manier fir e junge Fräu, wo-n-erst sechs Wuche g'hirothe-n-isch... ich ha-n-en awer o nitt in mim Zimmer im Hotel empfange, fir mi abz'hole... ich ha-n-em d'Adresse vo minere Cüsine gà, se wohnt grad do àne... 's isch sicher dert... wenn's nur scho umme wàr!... Was macht me doch nitt fir dr Mann! Dà liewe Mann! er hat mich nitt welle lo furt geh... er haltet nitt dra, ebbes z'werde, awer ich desto mehr... we me-n-uf ihn thàt lose, so thàt er si ganz Lewe-n-am gliche Platz bliwe grüpe...|||Wenn ich thàt uf ihn lose,|||So wàr bol 's Elend Trumpf,|||Boll hätt er keine Hose|||Un o kei güeter Strumpf.|||Doch das Ding ka nitt so bliwe,|||Ich will ihn scho vorwàrts triwe,|||Wenn's mir hit nitt fehl thüet schla,|||Soll er e besser Plàtzle ha.|||Awer dà Portner kunnt jo gar nitt... wenn nur dr Herr Dampf no nitt aruckt...|||kämme Se bol, Herr Tschobe?...",1,lustig-uf-bsuech-bi-dr-frau
comedy,Dr Portner vom Hotel,M,doorman,elementary_professions,,"Do, Madame Türk.",1,lustig-uf-bsuech-bi-dr-frau
comedy,Madame TÜRK,F,,,,"Endlig!|||Sie lehn Nieme-n-in mi Zimmer ufe geh, Se sàhn, ass ich üsgang...",2,lustig-uf-bsuech-bi-dr-frau
comedy,Dr Portner vom Hotel,M,doorman,elementary_professions,,Müess me-n-uf Se warte?,2,lustig-uf-bsuech-bi-dr-frau
comedy,Madame TÜRK,F,,,,"'s isch unnöthig, ich gang an e Soirée un kumm wohrschinlig spot heim...",2,lustig-uf-bsuech-bi-dr-frau
comedy,Dr Portner vom Hotel,M,doorman,elementary_professions,,"Ich wünsch viel Plaisier, Madame Türk",3,lustig-uf-bsuech-bi-dr-frau
comedy,Madame TÜRK,F,,,,"Merci, Herr Tschobe!|||jetz g'schwind züe miner Cüsine... ich müess lüege, eb se ihre Portner preveniert hat|||. Hat me-n-Ihne g'sàit, ass wenn hit z'Owe-n-ebber no de Madame Türk kunnt ku froge...",3,lustig-uf-bsuech-bi-dr-frau
comedy,Dr Portner vom Hotel,M,doorman,elementary_professions,,"Güet, güet... ich weiss es scho... ich schick alle züe-n-Ihrer Cüsine ufe.",3,lustig-uf-bsuech-bi-dr-frau
comedy,Herr TÜRK,M,,,,"Sackerdie!... wo bin i jetz do wieder! Scho dreiviertel Stund laüf ich jetz umme-n-un süech d'Schnokegasse un bi nitt g'fuchst, se z'finde... ich bi halt scho lang nimmig z'Milhüse gsi... me hat se viellicht supprimiert, d'Schnokegasse? ich müess halt froge|||d'Schnokegasse, wenn's i b'liebt!... kei Mensch niene... ich müess das bi-n-ere-n-etablierte Person froge, 's Hotel « Billig » soll ewe dert si, wo-n-ich scho vierzeh Tàg halwer drin logier... denn mi Hälfte logiert ewe drin, mi Sàlmele... me macht sich iwerhäupt kei rechter Begriff dervo, wie's eim isch, we me zwölfmol vierezwanzig Stund vo sinere Fraü eweg isch, mehrere Kilometer wit... un b'sunders e junger Mann, wo erst sechs Wuche g'hirothe-n-isch... ich ha's efange nimmig|||känne-n-üshalte... Tag un Nacht ha-n-i se g'sàh im Traüm in ihrer Hochzitstoilette un andere Costümes... ich ha-n-in dem Ding e-n-End g'macht un ha hit z'Owe dr Isebahn gnu... mine Biecher sin in Ordnung... morn isch Sunntig, wenn ich nur wieder am Màntig am Morge-n-uf em Bureau bi... bis derthi bin ich frei un ka bi minere junge Fraü si. Allons bon, jetz kunnt's noch ku regne... jetz isch's Zit, ass ich das Hotel find... ah çà, geht denn eigentlig kei Mensch do dure, wo-n-ich froge kännt!...",4,lustig-uf-bsuech-bi-dr-frau
comedy,Herr TÜRK,M,,,,Ah! ne Dame... die will ich glich froge...,4,lustig-uf-bsuech-bi-dr-frau
comedy,Madame DAMPF,F,,,,"Endlig... bisch Dü's, mi Liewer...",4,lustig-uf-bsuech-bi-dr-frau
comedy,Herr TÜRK,M,,,,Verzeiht Se...,5,lustig-uf-bsuech-bi-dr-frau
comedy,Madame DAMPF,F,,,,Dü hasch mich erwartet... ich ha mr's denkt...,5,lustig-uf-bsuech-bi-dr-frau
comedy,Herr TÜRK,M,,,,Bàh!...,5,lustig-uf-bsuech-bi-dr-frau
comedy,Madame DAMPF,F,,,,"Thüe doch dem Herr dert danke, wo durchüs mich hat welle heim begleite.",6,lustig-uf-bsuech-bi-dr-frau
comedy,Herr TÜRK,M,,,,Ah! so!...,6,lustig-uf-bsuech-bi-dr-frau
comedy,Madame DAMPF,F,,,,Dà Herr isch mi Mann.,6,lustig-uf-bsuech-bi-dr-frau
comedy,Herr TÜRK,M,,,,Hein!|||ich bi ihr...,7,lustig-uf-bsuech-bi-dr-frau
comedy,Ne junger Mensch,U,,,,Madame... ich salütier Se,7,lustig-uf-bsuech-bi-dr-frau
comedy,Herr TÜRK,M,,,,Was dr Kückücks isch jetz das fir Eine?,7,lustig-uf-bsuech-bi-dr-frau
comedy,Madame DAMPF,F,,,,Ah! 's wird mr glaüb weh!...,8,lustig-uf-bsuech-bi-dr-frau
comedy,Herr TÜRK,M,,,,"Was laüft mr in dr Nàcke?... ah, 's isch dr Parepli, wo abtropft uf mi Faux-col... derft ich Se froge, dur wer ass ich d'Ehr ha, ne so ig'spretzt z'werde?",8,lustig-uf-bsuech-bi-dr-frau
comedy,Madame DAMPF,F,,,,"Awer, was werde Sie denke vo mr, nitt wohr?...",8,lustig-uf-bsuech-bi-dr-frau
comedy,Herr TÜRK,M,,,,"Eh, eh, eh!... losst Se mich z'erst emol dà Riflard hewe... das Ding geht jo wie ne Kànel in mi Hals awe...",9,lustig-uf-bsuech-bi-dr-frau
