drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,lexRatio,anger_roll_mean,anticipation_roll_mean,arousal_roll_mean,disgust_roll_mean,dominance_roll_mean,fear_roll_mean,joy_roll_mean,sadness_roll_mean,surprise_roll_mean,trust_roll_mean,valence_roll_mean
comedy,Steinle,M,rentier,rentiers,upper_class,"
          
Steinle :

          
(sitzt im Fauteuil und liest in einem grossen dicken Buche)

          
Die Gesundheit ist des Menschen höchstes und teuerstes Gut. 
          
(spricht)
 Stimmt, diss Buch red't d'Wohrheit, denn e kranker Mensch isch niemols g'sund,
          un wie d'r Mensch nit füer sini G'sundheit sorit, no hett's... 
          
(es schellt)
 g'schellt.... stimmt, no hett's g'schellt ! 
          
(ruft)
 Daniel, Daniel! 
          
(es schellt wieder ; Steinle steht auf, geht an die Türe links und ruft hinaus)
 Daniel
          !

        
",1,clemens-gift,97,6,0.0618556701030927,,,,,,,,,,,
comedy,Daniel,M,domestic_worker,elementary_professions,lower_class,"
          
Daniel:

          
I-ich hab grad d' Müsfall g'stellt, no haw-ich mr noch d'r Finger verquetscht.

        
",2,clemens-gift,17,1,0.0588235294117647,,,,,,,,,,,
comedy,Steinle,M,rentier,rentiers,upper_class,"
          
Steinle :

          
's wurd nit g'fährli sinn — gehn un mache-n-uff. 
          
(Daniel rechts ab: Steinle legt das Buch auf den Tisch.)
 Wer wurd diss sinn, wo jetzt
          kummt, allewäj d'r Barickes !

        
",2,clemens-gift,41,2,0.048780487804878,,,,,,,,,,,
comedy,Anselm,M,,,,"
          
Anselm :

          
(von rechts kommend)

          
Buschur. Herr Steinle, ich will fröje, ob ich Eich ebs mit soll bringe üs d'r Stadt, ich fahr doch
          grad nin mit-em Tram, e Kommission mache.

        
",3,clemens-gift,39,4,0.1025641025641025,,,,,,,,,,,
comedy,Steinle,M,rentier,rentiers,upper_class,"
          
Steinle:

          
Doch, Anselm, diss isch grad recht, ass-r fröje... Ihr kennte m'r üs d'r Drogerie von dem Gift
          ""Ratten- und Mäusetod"" mitbringe. Ich hab in letschter Zitt so schrecklich viel Mies in mim Hüss, bis
          in d' Stubb kumme se m'r sogar ; es isch vun nix andersch als vun d'r Mälzerei do newe-n-uns.

        
",4,clemens-gift,67,7,0.1044776119402985,0.867464766122778,0.7519839476980055,2.131985952415394,1.049535603251287,2.7672371074332998,1.1167902992123175,0.0010546113279306,0.6716119164202277,0.0,0.0,2.205929268478905
comedy,Steinle,M,rentier,rentiers,upper_class,"
          
Steinle :

          
(gibt ihm Geld)

          
Ebä, do Anselm, bringe mir e Päckel mit für e Franke, will Ihr doch grad in d' Stadt fahre,
          gelle!... Un wie isch's mit-em Eise do hinte am Hals, isch-r noch nit zitti ?

        
",5,clemens-gift,49,3,0.0612244897959183,0.867464766122778,0.7519839476980055,3.860599958423923,1.049535603251287,4.104900717404423,1.1167902992123175,0.0010546113279306,2.350398911169087,0.0,0.0,2.7961877095549883
comedy,Anselm,M,,,,"
          
Anselm :

          
Ich glaub, ass-r jetz doch uffgeht... es wär au ball Zitt, es isch jetzt schun in d'r vierte Wuch,
          dass ich ne hab.

        
",5,clemens-gift,30,2,0.0666666666666666,0.867464766122778,3.360943595989388,5.415386460468293,1.049535603251287,6.960780156695923,1.1167902992123175,0.0010546113279306,2.350398911169087,0.0,0.0,5.579970831553757
comedy,Steinle,M,rentier,rentiers,upper_class,"
          
Steinle :

          
Nurre nit verzwifelt, Anselm, ich bring-ne schun uf, numme d' Bäbb vun Hanfsoot un Söjbohnemehl so
          heiss ufgelajt, wie Ihr's verlide kenne ; — uf muss-r un wenn alles hin geht.

        
",6,clemens-gift,39,5,0.1282051282051282,0.8705097864785871,3.3609435959893874,7.447794676762554,1.049535603251287,9.984789150268128,1.1204110196578394,2.516935395239236,2.354564489665461,0.0,0.0,8.864958961899937
comedy,Anselm,M,,,,"
          
Anselm :

          
(kratzt sich hinter dem Ohr)

          
Jo, jo — — wenn ich awer emol zuem Dokter dätt gehn...

        
",6,clemens-gift,23,1,0.0434782608695652,0.6996424991428609,3.3609435959893874,6.528639227310566,0.626863892473438,8.5730265963605,0.8034072365744527,2.515880783911305,2.354564489665461,0.0,0.0,7.562096764844003
comedy,Steinle,M,rentier,rentiers,upper_class,"
          
Steinle :

          
(böse werdend)

          
Seje mr still, kenn Wort vom Dokter ; den der geht anne un schnied Ejch glich e Stück üss-em Hals un
          verderbt Ejch's Blüet mit Salwe. — — Do, noch dem Buech tu ich Ejch küriere, diss isch meh wert wie
          zehn Dokter !... Ah, un was ich noch fröje will, hann-r die Nacht guet kenne schlofe uf dene Tee, wo
          ich Ejch gänn hab ?

        
",7,clemens-gift,81,12,0.1481481481481481,0.6329722565808749,3.1449677561000646,6.789106934381759,0.7946337836757411,8.907128727673884,0.6392017529352472,3.806446882916611,2.267678780401847,0.3372905377577618,0.5695024081545788,8.288620751325025
