drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,lexRatio,anger_roll_mean,anticipation_roll_mean,arousal_roll_mean,disgust_roll_mean,dominance_roll_mean,fear_roll_mean,joy_roll_mean,sadness_roll_mean,surprise_roll_mean,trust_roll_mean,valence_roll_mean
comedy,Fraü SIMON,F,,,,"
          
Fraü Simon

          
(rümt 's Atelier uf un staibt ab)

          
Se mage mr sage was Se wànn, Herr Helder, dr Herr Fix,
                        unser Nochber dert àne, isch e-n-alter Giftsack, ich
                        glaüb allewil, ass es e-n-alter Verbrecher isch, wo ne
                        Last Mordthate-n-uf em G'wisse hat... uf jede fall
                        isch's nit rar's, denn er git eim nitt emol e Centime
                        Trinkgeld am Neüjohr...
                    

        
",1,lustig-d-milhuser-in-paris,80,14,0.175,,,,,,,,,,,
comedy,group,sex_unknown,job_unknown,job_category_unknown,social_class_unknown,"
          
Herr Helder

          
(rischtet si Chevalet, sine Farwe-n-un sine Pàmsel
                        un lüegt als wieder züem Fenster üse)
                    

          
Allons, allons, Fraü Simon...

        
",2,lustig-d-milhuser-in-paris,28,1,0.0357142857142857,,,,,,,,,,,
comedy,Fraü SIMON,F,,,,"
          
Fraü Simon

          
(unterbricht ne)

          
's isch, wie-n-ich Ihne sag!... Erstens isch er scho
                        zwölf Johr nitt züer Thüre-n-üse gange, er verlosst so
                        wenig 's Hüs as e Schnàck si Schaale... zwölf Johr...
                        was halte Se dervo?...
                    

        
",2,lustig-d-milhuser-in-paris,50,3,0.06,,,,,,,,,,,
comedy,group,sex_unknown,job_unknown,job_category_unknown,social_class_unknown,"
          
Herr Helder.

          
Er blibt halt liewer d'heim, dà Mann...

        
",2,lustig-d-milhuser-in-paris,13,4,0.3076923076923077,,,,,,,,,,,
comedy,Fraü SIMON,F,,,,"
          
Fraü Simon.

          
Er weisst wohl worum... er hat Angst, er wird pàckelt,
                        das isch d'ganze G'schichte...
                    

          

        
",2,lustig-d-milhuser-in-paris,22,3,0.1363636363636363,0.2485118913016519,1.980039919118353,5.292404324710772,0.5906513080528425,5.022331131671093,3.25679270863366,1.1544456539280232,0.0,0.000262562179797,0.3874587231947571,4.509355003389605
comedy,group,sex_unknown,job_unknown,job_category_unknown,social_class_unknown,"
          
Herr Helder.

          
Un si Tochter... weisst Se nit iwer si Tochter z'sage,
                        Fraü Simon?...
                    

        
",2,lustig-d-milhuser-in-paris,20,3,0.15,0.2807190325609109,1.979777356938556,4.230985736222687,0.6703216048520619,3.5653911834275407,3.316471388698372,0.0058759438842902,0.0,0.0,0.0,2.867293014504031
comedy,Fraü SIMON,F,,,,"
          
Fraü Simon.

          
D'Jumpfer Elise... wo allewil am Fenster steht un do
                        iwere lüegt?... Die isch ganz anderscht, 's isch
                        wohr... Se geht un kunnt, laüft in d'Halle, macht
                        d'Kuche, flickt in ihrem Vater sine Kleider, wo-n-er
                        scho tràit siter anno Düwack... er brücht o keine neüe,
                        fir sich z'verstecke!... Wie-n-er hört geh im Hof, so
                        laüft er ine wie nitt g'scheidt... we me lütet an dr
                        Thüre, so zittert er an alle Glieder un losst eim e
                        Stund warte, bis er ufmacht... ich will Se jetz emol
                        g'frogt ha, eb sich e-n-ehrliger Christemensch eso
                        uffiehrt?...
                    

        
",3,lustig-d-milhuser-in-paris,127,11,0.0866141732283464,0.1246088052878079,1.981675568558518,3.736037573461684,0.2520525466561597,2.625276739751813,3.0172344860517386,0.0096973863907373,0.0,0.0003960023344737,0.4912424212446834,2.089942602295632
comedy,group,sex_unknown,job_unknown,job_category_unknown,social_class_unknown,"
          
Herr Helder.

          
Sie sieht iwerall nur 's Böse, Fraü Simon; si Tochter
                        isch desto ordliger...
                    

        
",4,lustig-d-milhuser-in-paris,19,3,0.1578947368421052,2.710207919832899,1.981675568558518,6.860380669687467,2.8752288421772363,4.94512495507133,5.385002941783695,0.0096973863907373,2.234316616335708,0.0003960023344737,0.4912424212446834,3.1850735000985977
comedy,Fraü SIMON,F,,,,"
          
Fraü Simon.

          
D'Jumpfere isch e g'schickte Person, das müess me
                        g'steh... flink un g'mutzt un fröhlig wie ne Vögele, wo
                        singt vo Morge bis Nacht... Un mit allem dem verdient
                        se noch ihre zwei Franke 's Tags mit Blüememache, den
                        ihr Vater hat nur 600 Franke Pension, er isch Employé
                        gsi un hat jetz si Retraite... ohne si Tochter wisst i
                        nitt, wie-n-ers mache thàt... drum ka-n-ich awer o nitt
                        begriffe...
                    

        
",4,lustig-d-milhuser-in-paris,87,6,0.0689655172413793,2.6679360469301217,1.981675568558518,6.633205231193519,2.770661577628261,4.596123924608143,5.306577493371963,0.0096973863907373,2.234316616335708,0.0003960023344737,0.4912424212446834,2.8631904572023417
comedy,group,sex_unknown,job_unknown,job_category_unknown,social_class_unknown,"
          
Herr Helder.

          
Ass ich ihre derf dr Hof mache... nitt wohr, Fraü
                        Simon?... isch sie's ebbe nitt werth?
                    

        
",4,lustig-d-milhuser-in-paris,25,3,0.12,2.7242985441338248,0.0018982116199622,4.156247242704044,2.910084597026895,3.7167584704468695,2.591367875830201,0.003821442506447,2.234316616335708,0.0003960023344737,0.4912424212446834,2.4725934980737807
