drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,lexRatio,anger_roll_mean,anticipation_roll_mean,arousal_roll_mean,disgust_roll_mean,dominance_roll_mean,fear_roll_mean,joy_roll_mean,sadness_roll_mean,surprise_roll_mean,trust_roll_mean,valence_roll_mean
comedy,WALTHER,M,,,,"
          
Walther.

          
Enfin, decidier Di... entweder hasch ne gern oder hasch
                        ne nitt gern... wenn De ne gern hasch, so hiroth ne;
                        mir wàr's recht... hasch ne-n-awer nitt gern, so will
                        ich Di wege dem doch nitt zwinge derzüe!
                    

        
",1,lustig-dr-fechtmeister,50,6,0.12,,,,,,,,,,,
comedy,KÀTELE,F,,,,"
          
Kàtele.

          
Ich ha-n-en glaüb nitt ungern... awer eso ne Chineser
                        hirothe, Vater...
                    

        
",2,lustig-dr-fechtmeister,18,2,0.1111111111111111,,,,,,,,,,,
comedy,WALTHER,M,,,,"
          
Walther.

          
's isch jo kei Chineser... Dü weisch's wohl!

        
",3,lustig-dr-fechtmeister,13,1,0.0769230769230769,,,,,,,,,,,
comedy,KÀTELE,F,,,,"
          
Kàtele.

          
Sobol ass er eso ne Wàdele am Kopf hat hànke un eso
                        Moustaches as wie schwarze Schnier un wie ne Chineser
                        ag'legt isch, so isch's fir mich e Chineser!
                    

          

            
G'sang

            
Das Ding kàm mir chinesisch vor,

            
Wenn ich ne thàt hirothe,

            
Ich kännt ne doch, isch's jetz nitt wohr?

            
Nie packe-n-an de Hoor.

            
Was wott ich ihm üsrupfe,

            
Wenn's Strit gàb hi uns zwei,

            

            
Ich wàr üsg'setzt allei

            
Un er thàt dure schlupfe.

            
Fir ass d'Hiroth thüet g'linge,

            
Müess z'allererst druf hi

            
D' Paricke Fest als si,

            
Fir ass me güet ka ringe.

          

        
",4,lustig-dr-fechtmeister,115,10,0.0869565217391304,,,,,,,,,,,
comedy,WALTHER,M,,,,"
            
Walther.

            

              
Das Ding kunnt Dir chinesisch vor

              
Un doch sollsch ihn hirothe,

              
Er ka nochher, isch's jetz nitt wohr?

              
Lo wachse sine Hoor.

            

          
",5,lustig-dr-fechtmeister,29,4,0.1379310344827586,0.0323242470758982,0.0235141075170097,0.0672242410698595,0.0071394731273343,0.0633978459201481,0.0360504322065724,0.027315565302478,0.0057144005588713,0.0129846551058742,0.0321121227876897,0.0684632621148656
comedy,WALTHER,M,,,,"
          
Walther.

          
Wenn ihr hirothe mitnander, so wird er wohrschinlig
                        abfahre mit sim Wàdele un sich wieder kleide wie
                        d'andere Lit!
                    

        
",6,lustig-dr-fechtmeister,24,1,0.0416666666666666,0.0313021781248673,0.0043882181004666,0.0436778654779519,0.0071394731273343,0.0334961133053938,0.0354000246922801,0.0,0.0057144005588713,0.002048441575266,0.001267152595156,0.0290513377265527
comedy,WALTHER,M,,,,"
          
Walther.

          
Was witt halt... er isch's g'wöhnt... siter im zehnte
                        Johr isch er jetz in China gsi.
                    

        
",7,lustig-dr-fechtmeister,22,1,0.0454545454545454,4.2447985447369945,0.0043882181004666,4.0471716597647855,2.620809404734416,3.389194488883688,0.0354000246922801,0.0,0.0057144005588713,0.002048441575266,0.001267152595156,2.922751908941013
comedy,KÀTELE,F,,,,"
          
Kàtele.

          
Warum haltsch Dü awer jetz eso an dere Hochzit... zeig,
                        Pape?
                    

        
",8,lustig-dr-fechtmeister,16,1,0.0625,4.2447985447369945,0.0043882181004666,4.0471716597647855,2.620809404734416,3.389194488883688,0.0354000246922801,0.0,0.0057144005588713,0.002048441575266,0.001267152595156,2.922751908941013
comedy,WALTHER,M,,,,"
          
Walther.

          
Los, Kàtele... ich sott Dir's eigentlig nitt sage...
                        awer ich will Dir's jetz avertraüe, fir ass De siehsch,
                        ass es Di Intresse-n-isch, Di Cüsin z'hirothe... awer
                        versprich mir, ass De nieme nit sage witt!
                    

        
",9,lustig-dr-fechtmeister,50,3,0.06,4.247584280564575,0.0141890262810025,4.059952916424063,2.6185667910563337,3.402804673612445,0.0381818908609074,0.0091090814393973,0.0035084613640125,0.0091749438650764,0.0069892707859262,2.9357925440329664
comedy,KÀTELE,F,,,,"
          
Kàtele.

          
Güet, ich versprich's... was isch denn das fir e
                        G'heimniss?
                    

        
",10,lustig-dr-fechtmeister,16,4,0.25,4.269390862536437,0.0098008081805358,4.084658186623614,2.613669931607082,3.421514499574136,0.0606769126878874,0.0091090814393973,0.0,0.0071265022898103,0.0057221181907701,2.9487596077557603
