drama_type,speaker,sex,job,job_category,social_class,text,progress,short_name,numTokens,numLexTokens,lexRatio,anger_roll_mean,anticipation_roll_mean,arousal_roll_mean,disgust_roll_mean,dominance_roll_mean,fear_roll_mean,joy_roll_mean,sadness_roll_mean,surprise_roll_mean,trust_roll_mean,valence_roll_mean
comedy,Herr SIESELSAFT,M,doctor,professionals_scientific_technical,,"
          
Herr Sieselsaft

          
(kunnt ine mit Püpitre)

          
Endlig isch er jetz wieder emol ag'ruckt, dr Samstig!..
                        ich frei mi als d'ganze Wuche druf hi... denn alle
                        Samstig z'Owe mache mr Müsik mitnander... der Herr
                        Fink, dr Herr Pfaffekàpple, dr Herr Bif, dr Herr Düwack
                        un ich...
(stolz)
 ich bin ihre Chef d'orchestre!...
                        denn sie bringe nit ane, wenn nitt einer dr Tact
                        schlat... 's sin halt alles nur Amateurs... dr Herr
                        Fink blost 's Basson, dr Herr Pfaffekàpple d'Flöte, dr
                        Herr Bif 's Saxophone un dr Herr Düwack 's Horn... ich
                        spiel alle-n-Instrumente, excepté 's Basson, das ha-n-i
                        nie känne lehre... un doch kàm's mr jetz z'güet... ich
                        bin ewe-n-in ere grossartige-n-Erfindung uf dr Spür, wo
                        d'Müsik d'Haüptrolle drin spiele soll... wenn das mir
                        g'lingt, so kermt mi Fortün un mi Rüehm kei Grenze
                        meh... doch, wenn mich nur dr Herr Fink mit sim Basson
                        nit emol im Stich losst... er will allewil furt, dà
                        Mann... un ich wisst sicher kei ander Basson z'finde...
                        's isch fatal!... grad das Instrument, wo-n-ich nitt
                        ka, das findet me-n-eso selte, un ich müess es doch ha,
                        nitt nur fir mi Samstigmüsik, awer b'sunders noch fir
                        mine... doch still .. ich will mi G'heimniss no nitt
                        üsschwàtze... 'wenn nur d'Müsik güet geht hit z'Owe un
                        ass die Herre nitt züe arg falsch blose!...

          

          

            
G'sang

            
(Mirliton)

            
Wenn mir als Müsik mache,

            
So himpelt's màngmol arg,

            
Mir thien als selbst drab lache,

            
Denn 's isch halt keiner stark.

            
Doch wenn mir in Acht uns nàmme,

            
Wird se besser bol üsg'fiehrt,

            
D'B-moll, d'Dièses schier alle z'àmme

            
Werde jetz observiert.

            
Doch wenn mir in Acht uns nàmme,

            
Wird se besser bol üsg'fiehrt,

            
D'B-moll, d'Dièses schiert alle z'àmme

            
Werde-n-observiert!

          

          
G'wiss, d'Müsik isch ebbes schön's!... alles ka me
                            mit dr Müsik mache!... alles!... doch hör i nitt
                            ebber ku?...
(me klopft a)
entrez... 
(dr Herr Fink kunnt ine).

        
",1,lustig-zwei-erfindunge,415,51,0.1228915662650602,,,,,,,,,,,
comedy,Herr SIESELSAFT,M,doctor,professionals_scientific_technical,,"
          
Herr Sieselsaft.

          
Ah, Sie sin 's, Herr Fink?... was bringe Se mr Neü's?...
                        Sie werde doch ebbe ku hit z'Owe... was mache
                        d'Gschàfte... was macht Ihre-n-Erfindung?

        
",2,lustig-zwei-erfindunge,41,4,0.0975609756097561,,,,,,,,,,,
comedy,Herr FINK,M,,,,"
          
Herr Fink.

          
Mi Erfindung?... was wànn Sie mit dem sage?

        
",2,lustig-zwei-erfindunge,14,1,0.0714285714285714,,,,,,,,,,,
comedy,Herr SIESELSAFT,M,doctor,professionals_scientific_technical,,"
          
Herr Sieselsaft.

          
Oh... Sie bruche sich nitt z'verstelle vor mir!... unter
                        uns g'sàit, ich ha das scho lang g'merkt an Ihrer
                        Unrüehigkeit, an Ihre Maniere... ich kenn ewe das
                        Ding... ich o bin in're-n-Erfindung uf dr Spür un ich
                        glaüb, dass ich jetz endlig an's Ziel kumme wird...

        
",3,lustig-zwei-erfindunge,62,7,0.1129032258064516,,,,,,,,,,,
comedy,Herr FINK,M,,,,"
          
Herr Fink.

          
Do sin Sie glickliger as ich, Herr Sieselsaft, denn ich
                        will's nitt làigne, ich süech ebbes, un wenn ich das
                        find, so isch mi Fortün g'macht.

        
",4,lustig-zwei-erfindunge,36,6,0.1666666666666666,0.6264912414171968,1.2200392252705687,3.794452778528216,1.162463745202872,5.267596906087088,0.7874668120762507,0.2709919599988019,0.0014899445697496,0.0775873803513095,0.5665340576067133,5.06459905069009
comedy,Herr SIESELSAFT,M,doctor,professionals_scientific_technical,,"
          
Herr Sieselsaft.

          
Grad as wie-n-ich!

        
",4,lustig-zwei-erfindunge,9,2,0.2222222222222222,0.4750555875094937,1.0429666740400738,5.456993776263221,1.1735573604827925,8.308543432294647,0.8805275883185985,0.0,0.0,0.0,3.0074711439980417,8.272821772743617
comedy,Herr FINK,M,,,,"
          
Herr Fink.

          
Tag un Nacht plogt mich das Dings!... Tag un Nacht
                        thüe-n-i noforsche, un wenn i als mein, jetz ha-n-i's,
                        so geht's wieder züe nitt... drum isch's jetz
                        üsg'macht... ich gang nach Amerika, wo d'Photographie
                        besser geht... viellicht ass mir dert ebbes Neü's,
                        ebbes Unerwartet's unter d'Hànd fallt, wo züe miner
                        Erfindung bitrage ka...

        
",5,lustig-zwei-erfindunge,79,5,0.0632911392405063,0.4176304492296316,1.0429666740400738,5.1383197238618745,1.031505702632607,7.819327083631973,0.7739888449309598,0.0,0.0,0.0,2.9966938523603908,7.824454170105424
comedy,Herr SIESELSAFT,M,doctor,professionals_scientific_technical,,"
          
Herr Sieselsaft.

          
Das werde Sie doch ebbe nitt thüe, Herr Fink, wer wott
                        denn derno 's Basson spiele an uns're Soirées?...
(fir
                        sich)
 un ich, wo b'sunders uf ne zählt ha, fir mine...
                       
(lüt)
 Sie kanne-n-uns nitt eso im Stich lo, das wàr
                        nitt schön... wo wotte mir e-n-Anderer nàh?... Sie
                        wisse jo, ass das Instrument nieme spielt...

        
",6,lustig-zwei-erfindunge,80,10,0.125,0.3011386190877238,1.477344085316565,4.746629308788595,0.654168307802927,7.046069497174064,0.5304964608880496,0.5849160216360365,0.0094785966351936,0.1413220145483767,3.452949526940526,7.27849461146724
comedy,Herr FINK,M,,,,"
          
Herr Fink.

          
Sie brüche nitt sorge fir das, Herr Sieselsaft, ich kenn
                        e junger Mensch, wo par hasard das Ding spielt... nur
                        hat er's allewil versteckt bis dohi, worum, weiss i
                        nitt... ich ha ne züefàllig emol ertappt dra...
                        suffit... wenn Sie wànn, so will ich ne hit z'Owe-n-an
                        mim Platz schicke... er spielt recht schön...

        
",7,lustig-zwei-erfindunge,73,9,0.1232876712328767,0.3358417332491075,0.9135654541757108,4.860587443579023,0.6917481114669972,7.171419224335823,0.5820811056281163,1.2348227123427438,0.0172492135470727,0.2967343527859614,4.49162198749505,7.576183355356581
comedy,Herr SIESELSAFT,M,doctor,professionals_scientific_technical,,"
          
Herr Sieselsaft.

          
Eb ich will!... natirlig will i!... was wotte mr ohne
                        Basson mache?...
(fir sich)
 tiens, e-n-Idee!...
(er
                        heht dr Einger an d'Nase-n-an denkt no).

          

        
",8,lustig-zwei-erfindunge,46,2,0.0434782608695652,0.4544750225505037,0.9135654541757108,5.141444039965977,0.7695982129977402,7.5175682473384,0.7354222316563396,1.2348227123427438,0.0172492135470727,0.2967343527859614,4.49162198749505,7.884926346752754
