lieb => lieb
Hoor => hoor
ellein => allei
still => stilli
halt => halte
ellein => allei
schuld => Schuldige
verlore => verloren
Band => Bande
uff => üf
halte => halte
Maidel => Maidl
güet => Guten
uff => üf
Lehr => Lehre
gemacht => gemachti
gemacht => gemachti
güet => Guten
lang => langer
Fröuj => Fröiij
saat => sät
Gschäfte => G’schäfte
grad => gradi
Herr => Herr
Herr => Herr
Ja => Ja‚
schöner => Schön
Herr => Herr
kumme => kumme
schwarze => schwarzer
schad => Schade
güet => Guten
Babbe => Bäbbe
glaub => Glöüwe
Vater => Vadder
Gurt => Gurt
elendi => Eländer
Schmier => Schmier
grob => grobi
gemacht => gemachti
uff => üf
Babbe => Bäbbe
wüscht => wuescht
Vater => Vadder
gerischt => geruescht
Hunger => Hunger
lang => langer
warte => warte
warte => warte
kumme => kumme
Vater => Vadder
währli => werli
angscht => Angst
Ja => Ja‚
Vater => Vadder
Vater => Vadder
satt => sät
Eh => Ehen
zefridde => zefriede
Vater => Vadder
Elendi => Eländer
Böuj => Böuj
güet => Guten
Vater => Vadder
rischte => rüeschde
Vater => Vadder
schlecht => schlechten
kleine => Kläiner
Ja => Ja‚
kumme => kumme
Herre => Herr
dheile => dheile
garandier => garantiera
güet => Guten
Vater => Vadder
Herre => Herr
lang => langer
lang => langer
Vater => Vadder
Ja => Ja‚
schöner => Schön
furtgehn => furtgehn
Blütsüger => Bluetsüger
Armüet => Armüet
Trumpf => Trümpf
brüel => briahla
Mann => Mænner
Vater => Vadder
miner => meinen
Herz => Härze
Mitleid => Mitlides
gescht => g'scheit
Vater => Vadder
gescht => g'scheit
Geld => Gald
güet => Guten
grad => gradi
gescht => g'scheit
genn => gen
Vater => Vadder
lange => langer
verdiene => verdeene
starker => starick
Mann => Mænner
Gott => Gott
Doochter => Doochder
Geld => Gald
Vater => Vadder
grad => gradi
verdiene => verdeene
Geld => Gald
uff => üf
Fall => Fal
uff => üf
kranki => krank
recht => Rechte
danke => Danke
elend => Eländer
schwach => schwächer
lang => langer
Lascht => Lascht
Kraft => Kraft
zusammen => zamme
Dropf => Tropfa
heiße => häise
uff => üf
Geld => Gald
Kamerade => Kamerad
Ja => Ja‚
großarti => grossartige
Husten => Husten
Vater => Vadder
Verstick => verstick
Mül => Mül
schön => Schön
Güet => Guten
uff => üf
Gottsacker => Göttsacker
Vater => Vadder
Wort => Woorte
grad => gradi
Schandfleck => Schandfleck
Vater => Vadder
lahm => lahme
stille => stilli
Erbärmlicher => Erbärmlicher
Tropf => Tropfa
Vater => Vadder
stille => stilli
Unglück => Ungleck
Vater => Vadder
Dummheit => Dummheiten
Wibsbild => Wibsbild
Vater => Vadder
halte => halte
Vater => Vadder
Geld => Gald
Vater => Vadder
Geld => Gald
Engel => Angele
Ja => Ja‚
lang => langer
Vater => Vadder
überzeugt => Überzeugt
Geld => Gald
Vater => Vadder
Geld => Gald
bekumm => bekomm
Engel => Angele
schließlich => schliesslig
starken => starick
leere => läre
schnell => schnalle
weinen => Weinen
auffallend => Uffallend
sehr => sehr
elegant => eleganti
Babbe => Bäbbe
allewil => Allewil
Thränen => Thrane
Geld => Gald
Wunder => Wunder
Geld => Gald
Geld => Gald
halt => halte
Geld => Gald
Geld => Gald
Herr => Herr
Gescht => Gaischt
Mann => Mænner
großarti => grossartige
hell => hel
einfach => eenfach
großarti => grossartige
grad => gradi
uff => üf
Zitt => Zitt’
Ja => Ja‚
rote => rot
schlecht => schlechten
lang => langer
güet => Guten
geje => geje
kumme => kumme
grad => gradi
leid => lid
güete => Guten
gern => gern
Mann => Mænner
Geld => Gald
uff => üf
Herr => Herr
grad => gradi
Herr => Herr
schwarze => schwarzer
halt => halte
Dokt'r => Doktor
schöner => Schön
Mann => Mænner
lehre => Lehr
Amesire => Amüsiere
Ja => Ja‚
ewig => ewige
Anbetung => Anbetung
lang => langer
uff => üf
kumm => kumme
Schmutz => Verschmutze
grad => gradi
Hunger => Hunger
Hunger => Hunger
genn => gen
Mül => Mül
uff => üf
güet => Guten
Herr => Herr
güet => Guten
uff => üf
lehre => Lehr
Ja => Ja‚
kauft => kauft
güet => Guten
Gsetzle => Gsetzle
uff => üf
Eh => Ehen
güet => Guten
Man => Mænner
Gott => Gott
Christus => Christus
Christus => Christus
Christus => Christus
wart => warte
grad => gradi
uff => üf
mine => meinen
Herr => Herr
schlecht => schlechten
Gescht => Gaischt
Dokter => Doktor
kumme => kumme
gstorwe => gschtorwa
gschickt => g’schickt
Ja => Ja‚
Babbe => Bäbbe
gemacht => gemachti
Gescht => Gaischt
kumme => kumme
Mann => Mænner
geje => geje
Schand => Schanda
gescht => g'scheit
Mann => Mænner
Ja => Ja‚
ellein => allei
kumme => kumme
gemacht => gemachti
vergesse => vergasse
Ja => Ja‚
wohr => wohrer
stille => stilli
Bibbele => Bibbele
güet => Guten
genn => gen
Gschäft => G’schäfte
wohr => wohrer
lang => langer
Gschäft => G’schäfte
Stein => Stein
Mittle => Mitt'le
gfitzt => g’fitzti
Herr => Herr
genn => gen
Herre => Herr
gern => gern
Herre => Herr
gern => gern
gern => gern
Herre => Herr
liebschte => Liebschter
uff => üf
grad => gradi
gern => gern
saat => sät
saat => sät
gern => gern
Ja => Ja‚
Herr => Herr
bejahend => bejahend
gescht => g'scheit
Erschrickt => erschreekt
schnell => schnalle
glauwi => glauw’
Mann => Mænner
genau => genäuej
glauwi => glauw’
Mann => Mænner
Babbe => Bäbbe
Dummheit => Dummheiten
verschreck => verschreck
kumme => kumme
Hüs => Huus
glauwi => glauw’
kumme => kumme
Ja => Ja‚
güet => Guten
Schwarzer => schwarzer
sehr => sehr
Kleine => Kläiner
Guten => Guten
recht => Rechte
Ja => Ja‚
wohl => wohler
Ja => Ja‚
Kumme => kumme
kumme => kumme
Zitt => Zitt’
Herr => Herr
uff => üf
kommen => kumme
wohl => wohler
Herren => Herr
Besüech => Bsüch
Vorsicht => vorsichtig
Herr => Herr
Dokt'r => Doktor
Ganz => Ganzi
recht => Rechte
blos => bloose
Eile => Eila
reise => reisen
Uhr => Ühre
leid => lid
Ja => Ja‚
ändern => ändre
kumme => kumme
Gott => Gott
Reise => Räis
Fall => Fal
reise => reisen
lang => langer
schlimm => schlimm
Reise => Räis
Ganz => Ganzi
leicht => leichte
Plän => Plan
hält => halte
krank => krank
Mann => Mænner
verlegen => verlegener
Wunderfitz => wunderfizi
luschti => Luschti
Herr => Herr
Dokter => Doktor
mein => meinen
voller => vol
verlore => verloren
genau => genäuej
treten => tratte
meiner => meinen
Abreise => abreise
gut => Guten
charmanter => charmante
Mann => Mænner
Gelegenheit => Gelegenheit
Kräfte => Kraft
Geschäft => G’schäfte
Ja => Ja‚
eleganter => eleganti
großartig => grossartige
sehr => sehr
arbeiten => arbeite
Uhr => Ühre
bequem => bequemer
nichts => nischts
ellein => allei
engagiert => engagirt
Ja => Ja‚
Gheimnis => Gheimnis
Eltern => Aelterer
Verständnis => Verständnis
Glück => Glüeck
Fall => Fal
Abmeldung => Abmeldung
wohr => wohrer
Ja => Ja‚
Eldere => Aelterer
Ehre => Ehren
mein => meinen
Wort => Woorte
Wahrhaftig => wahrhafti
glaub => Glöüwe
kumme => kumme
Mann => Mænner
dank => Danke
Noochfröuj => Nachfrage
Engel => Angele
schlecht => schlechten
lang => langer
kumme => kumme
schad => Schade
Ja => Ja‚
halt => halte
güet => Guten
grad => gradi
kumme => kumme
Mann => Mænner
uff => üf
schrecklich => verschreck
glaub => Glöüwe
kumme => kumme
trürig => drürig
Dokter => Doktor
Dokter => Doktor
güet => Guten
Ja => Ja‚
güeter => Guten
Mann => Mænner
krank => krank
elend => Eländer
kumme => kumme
glaub => Glöüwe
verliere => verloren
güet => Guten
Gott => Gott
grad => gradi
Kriz => kreuz
Elend => Elander
Mann => Mænner
Mann => Mænner
uff => üf
Göttsacker => Göttsacker
helfe => hälfe
saat => sät
Mann => Mænner
brav => brava
lang => langer
Schand => Schanda
hüwe => hüwe
Gschäfte => G’schäfte
Engel => Angele
mine => meinen
ehrliche => Ehrli
bigott => bigott
güet => Guten
stille => stilli
Doochter => Doochder
pfiffe => pfif
brav => brava
güet => Guten
Schlechtigkeit => Schlechtigkeit
Doochter => Doochder
wohr => wohrer
Ja => Ja‚
kranke => krank
Mann => Mænner
ellein => allei
gern => gern
saat => sät
Hüs => Huus
Herr => Herr
plötzlich => plötzlichen
versteinert => versteinert
Pause => Paus'
Ewigkeit => Ewigkeit
Amen => Amen
Ganz => Ganzi
Stock => Stöcke
höcher => höcher
Familli => Famili
Engel => Angele
Engel => Angele
Ja => Ja‚
Herr => Herr
Mann => Mænner
weinen => Weinen
eilen => Eila
kommen => kumme
Lust => Luscht
Uhr => Ühre
Ja => Ja‚
lange => langer
Zeit => Zitt’
kostbar => koschtbare
nichts => nischts
versichere => versichere
Vater => Vadder
sorgen => Sorga
Schatz => Schatz
gelt => gelte
Glücke => Glüeck
ausgeschlossen => üsg'schlosse
wohl => wohler
übel => übel
stille => stilli
leidenschaftlichen => leidenschaftlich
rischte => rüeschde
nichts => nischts
nichts => nischts
meine => meinen
Sorge => Sorga
Eltere => Aelterer
Geld => Gald
kommen => kumme
Vorschuß => Vorschuß
Schein => Scheine
bitt => Bitt
Reise => Räis
sehr => sehr
kommen => kumme
gern => gern
zurückhalten => zeruckhalte
weinerlich => weinerlicher
plötzlich => plötzlichen
Herr => Herr
Dokt'r => Doktor
reise => reisen
Sehn => Sehne
Herz => Härze
genn => gen
Herr => Herr
Dokt'r => Doktor
Angscht => Angst
liewer => Liawe
Leidenschaft => Leidenschaft
ärgerlich => Ürgerlich
Gör => Gör
kommen => kumme
eilt => eilt
Herr => Herr
Dokt'r => Doktor
wunderlich => wunderlich
Geld => Gald
Gfalle => G'falle
Alte => alter
sicher => secher
anders => andrs
gut => Guten
einverstanden => ienverstande
bestimmt => bestimmt
hoffe => Hoffe
vertrauen => Vertrauen
einfach => eenfach
adieu => adie
höchste => höchsten
Zeit => Zitt’
Glük => Glüeck
Herr => Herr
Dokt'r => Doktor
glücklichi => glückliche
Reis' => Räis
scharf => scharf
Herr => Herr
lid => lid
Herr => Herr
güet => Guten
güet => Guten
heftig => heftig
warm => warme
verständig => verständige
Schin => Scheine
vermide => vermide
stille => stilli
Guten => Guten
vielleicht => velicht
Güete => Guten
Herr => Herr
Ehr => Ehr
Herr => Herr
allein => allei
Tochter => Doochder
Herr => Herr
Herr => Herr
Herr => Herr
Ja => Ja‚
Herr => Herr
armi => arm
Herr => Herr
Krankheite => Kranket
kumme => kumme
Blick => blick
Ja => Ja‚
arm => arm
schöner => Schön
güet => Guten
gsund => gsunder
Herr => Herr
glauwi => glauw’
dunkel => dunkle
Engel => Angele
schad => Schade
freie => freia
Herr => Herr
uff => üf
kumme => kumme
Herr => Herr
Wort => Woorte
gerne => gern
komme => kumme
Herr => Herr
Pause => Paus'
heilige => Heiligi
Haus => Huus
verlassen => verlass
Leben => lab
meine => meinen
leiblich => lieblicher
schwere => Schwer
Krankheiten => Kranket
Seele => Seel
Herr => Herr
gut => Guten
richten => richt
glaube => Glöüwe
stellen => stella
Zeit => Zitt’
unter => unde
trumpier => trumpier
Versammlung => Versammlunge
kumme => kumme
Herr => Herr
lange => langer
Zeit => Zitt’
glauwi => glauw’
abnemme => abnemme
Herr => Herr
Zitt => Zitt’
kumme => kumme
Herr => Herr
warm => warme
Freund => Frinde
Heil => Heile
Seele => Seel
warm => warme
Herzen => Härze
Herr => Herr
Gute => Guten
versprach => Verspräche
Tugend => Tugenden
glauwe => Glöüwe
lang => langer
sicher => secher
lang => langer
Herr => Herr
dumm => dumma
gemein => gemeine
versichern => versicher
Schand => Schanda
schlechte => schlechten
glauben => Glöüwe
sündhaft => Sünde
halte => halte
mein => meinen
Wunsch => Winsch
schlimmer => schlimmen
Herr => Herr
güet => Guten
Meinung => Meinung
lange => langer
arbeiten => arbeite
Eltern => Aelterer
kostbaren => koschtbare
glauwe => Glöüwe
gstohle => gstohlene
meine => meinen
meine => meinen
Nichts => nischts
nichts => nischts
Pause => Paus'
Zeit => Zitt’
Herr => Herr
dunkel => dunkle
Laternen => Laterne
Ganz => Ganzi
Herr => Herr
Arbeit => arbeite
stärke => starick
inbrünstig => inbrünschtig
Gott => Gott
Herr => Herr
Ja => Ja‚
beditte => bedidde
meine => meinen
Schatz => Schatz
Ja => Ja‚
Herr => Herr
allewyl => Allewil
Schätz => Schatz
gfährlich => gfährlich
Jüged => Jügend
Pläsier => Plaisir
meine => meinen
Alter => alter
Mann => Mænner
lieben => Liawe
geben => geb
besizen => B’sitz
rechtmäßig => rechtmäßig
sündhaft => Sünde
schließlich => schliesslig
schlimm => schlimm
allein => allei
sündigen => sindiger
Güet => Guten
Herr => Herr
Ja => Ja‚
wohr => wohrer
schlecht => schlechten
Geld => Gald
Herr => Herr
Babbe => Bäbbe
einzig => einzige
Geld => Gald
Gschäft => G’schäfte
morjes => Morjen
Lohn => Lohn
bekumme => bekomm
Babbe => Bäbbe
Babbe => Bäbbe
Arweit => Ärwet
genn => gen
bekumme => bekomm
ellein => allei
bisse => bissi
breche => brache
Lib => Leib
Geld => Gald
Hüs => Huus
Geld => Gald
Hunger => Hunger
Elend => Elander
umkumme => umkumma
Geld => Gald
Herr => Herr
Elleböuje => Ellbogen
güet => Guten
wohl => wohler
Vereine => Verein
genn => gen
güet => Guten
Babbe => Bäbbe
annemme => annahme
lang => langer
Bettle => Bettel
Herr => Herr
bettle => Bettel
richten => richt
meine => meinen
sterben => stärb
Sünde => Sünde
güet => Guten
Herr => Herr
gerne => gern
zugeben => zugeben
sehr => sehr
Sünde => Sünde
Gott => Gott
Armen => arm
hilfreiche => hilfreiche
Prüfungen => Pruefung
Worte => Woorte
kommen => kumme
glaube => Glöüwe
Not => Not
Sünde => Sünde
trieb => Trieb
Leichtsinn => Lychtisinni
Not => Not
Reue => Reue
eilten => eilt
Gebet => Gebätter
gut => Guten
gemacht => gemachti
Sünde => Sünde
Lust => Luscht
Macht => Macht
Nerv => Nerfe
Herr => Herr
schlecht => schlechten
versicher => versichere
Not => Not
Elend => Elander
Bruderschaft => Bruderschaft
Herz => Härze
gegen => geje
standhaft => standhaft
gelobt => gelobte
