iwerrascht => überraschende
grad => gradi
güete => Guten
Herr => Herr
grad => gradi
uf => üf
Kumm => kumme
wunderfitzig => wunderfizi
ku => kumme
Angst => Angst
junger => Jungi
ku => kumme
Empfang => empfange
mine => meinen
sicher => secher
Eh => Ehen
allewil => Allewil
güete => Guten
grad => gradi
Hüs => Huus
halt => halte
glaüb => Glöüwe
schlecht => schlechten
Freiheit => Frejheite
Vater => Vadder
Alte => alter
halt => halte
g'macht => gemachti
sicherer => secher
reise => reisen
verliere => verloren
recht => Rechte
lehre => Lehr
Los => Los
Mann => Mænner
Vater => Vadder
gà => gen
Spiel => spielen
gern => gern
wohr => wohrer
junger => Jungi
gern => gern
Herr => Herr
Eh => Ehen
heisse => häise
lehre => Lehr
halt => halte
güet => Guten
verstand => Vrstand
uf => üf
Grab => Grab
allewil => Allewil
Angst => Angst
vergesse => vergasse
halt => halte
uf => üf
schöne => Schön
Salon => salon
uf => üf
verschwunde => verschwind
ziemlig => ziemli
iwel => Iwwel
Los => Los
wohl => wohler
G'heimniss => Gheimnis
Mann => Mænner
grad => gradi
Hüs => Huus
lehre => Lehr
Hüs => Huus
ku => kumme
Rand => Rand
Vater => Vadder
Vater => Vadder
Eh => Ehen
Herr => Herr
Patron => ,patron...
halt => halte
Vater => Vadder
Los => Los
Mann => Mænner
g'scheidt => g'scheit
ahalte => ahalte
schwache => schwächer
allewil => Allewil
Mann => Mænner
liewer => Liawe
lewe => lab
wohr => wohrer
recht => Rechte
schwach => schwächer
Patron => ,patron...
alter => alter
Original => Originelle
passt => passt
mitnander => mit-nander
licht => leichte
mine => meinen
Mann => Mænner
spare => Sparren
vergesse => vergasse
vergesse => vergasse
Still => stilli
Unterschlupf => Unterschlupf
uf => üf
liewe => Liawe
uf => üf
lieb => lieb
ku => kumme
Herr => Herr
Patron => ,patron...
Patron => ,patron...
üsgange => üsgange
ku => kumme
kleiner => Kläiner
Schmutz => Verschmutze
allei => allei
allewil => Allewil
Mann => Mænner
gern => gern
wohl => wohler
Patron => ,patron...
Herr => Herr
vergesse => vergasse
allewil => Allewil
Patron => ,patron...
Respect => Respect
schuldig => Schuldige
Mann => Mænner
g'scheidt => g'scheit
dumm => dumma
unterbricht => underbrecht
Patron => ,patron...
dumm => dumma
voll => vol
Geist => Geist
güet => Guten
ku => kumme
Los => Los
Recht => Rechte
lang => langer
gern => gern
gern => gern
Fir => Fir
Liewer => Liawe
Patron => ,patron...
warte => warte
allewil => Allewil
Zit => Zitt’
stolz => stolzi
Achtung => Achdung
Dummheite => Dummheiten
G'heimniss => Gheimnis
Fir => Fir
gà => gen
Schmutz => Verschmutze
Patron => ,patron...
Herr => Herr
glaüb => Glöüwe
Herr => Herr
allewil => Allewil
ku => kumme
süeche => suche
Herr => Herr
Herr => Herr
Herr => Herr
Herr => Herr
Zit => Zitt’
Jumpfere => Jungfre
Hof => Hoft
Herr => Herr
grad => gradi
ku => kumme
grad => gradi
Herr => Herr
mein => meinen
Zit => Zitt’
zornig => zornig
Schatz => Schatz
Herr => Herr
Schatz => Schatz
Herr => Herr
g'macht => gemachti
Herr => Herr
halt => halte
Hüs => Huus
Herr => Herr
mitnander => mit-nander
Morge => Morjen
Herr => Herr
Wibsbild => Wibsbild
Verderwe => verdärwe
Herr => Herr
uf => üf
g'schickt => g’schickt
halt => halte
Liewe => Liawe
Zit => Zitt’
Herr => Herr
Herr => Herr
Herr => Herr
schön => Schön
Herr => Herr
lacht => laachter
heimlig => heimlich
Herr => Herr
Mittel => Mitt'le
stell => stella
viellicht => velicht
Mittel => Mitt'le
Herr => Herr
Herr => Herr
Eh => Ehen
Herr => Herr
halt => halte
Herr => Herr
Herr => Herr
uf => üf
Herr => Herr
güete => Guten
Glick => Glüeck
schön => Schön
gà => gen
Herr => Herr
Wort => Woorte
trumpiere => trumpier
Engel => Angele
Herr => Herr
sicher => secher
Sicher => secher
Herr => Herr
Herr => Herr
koche => Kocha
Herr => Herr
güet => Guten
Herr => Herr
viellicht => velicht
Herr => Herr
fiehre => fiehre
Herr => Herr
schön => Schön
Herr => Herr
allei => allei
allewil => Allewil
Fall => Fal
ku => kumme
Herr => Herr
sicher => secher
Jumpfer => Jungfre
Herr => Herr
güeter => Guten
Frind => Frinde
letze => letzi
Herr => Herr
Süeche => suche
viellicht => velicht
Herr => Herr
viellicht => velicht
gà => gen
süech => suche
junge => Jungi
Dame => Damen
Stock => Stöcke
Herr => Herr
uf => üf
junge => Jungi
Dame => Damen
Herr => Herr
gern => gern
Herr => Herr
Jumpfer => Jungfre
Herr => Herr
lüt => läuten
Herr => Herr
efange => anfang
Zit => Zitt’
lehre => Lehr
Jumpfer => Jungfre
sicher => secher
Herr => Herr
uf => üf
ku => kumme
mine => meinen
Herr => Herr
allewil => Allewil
gern => gern
Herr => Herr
lüt => läuten
rechte => Rechte
Freid => Fräide
Herr => Herr
viellicht => velicht
vergesse => vergasse
Mann => Mænner
Herr => Herr
Herr => Herr
freie => freia
viellicht => velicht
viellicht => velicht
Herr => Herr
Herr => Herr
Güeter => Guten
junger => Jungi
schöner => Schön
Mann => Mænner
Herr => Herr
Herr => Herr
Geld => Gald
gern => gern
Herr => Herr
Junger => Jungi
schön => Schön
allewil => Allewil
gern => gern
veracht => v'racht
Herr => Herr
liewer => Liawe
klar => klär
gern => gern
Herr => Herr
Zit => Zitt’
halt => halte
froh => froh
Hof => Hoft
halte => halte
Herr => Herr
liewer => Liawe
allewil => Allewil
schöne => Schön
recht => Rechte
Meinung => Meinung
Herr => Herr
allei => allei
Jumpfer => Jungfre
glaüb => Glöüwe
liewer => Liawe
gege => geje
Eh => Ehen
Herr => Herr
afange => anfang
Herr => Herr
süeche => suche
Freid => Fräide
grine => grinne
uf => üf
ku => kumme
fiehre => fiehre
g'macht => gemachti
schöne => Schön
lüt => läuten
uf => üf
Jumpfer => Jungfre
Jumpfer => Jungfre
fiehre => fiehre
streng => Strenge
Jumpfer => Jungfre
süeche => suche
wohl => wohler
viellicht => velicht
erfahre => erfahreni
uf => üf
grad => gradi
ku => kumme
gern => gern
gern => gern
undankbarer => undankbarer
Netz => Netz
dumm => dumma
vergesse => vergasse
vergesse => vergasse
Zit => Zitt’
anders => andrs
gern => gern
Alte => alter
mine => meinen
erfahre => erfahreni
gern => gern
zornig => zornig
ku => kumme
allei => allei
Herr => Herr
Güet => Guten
Eh => Ehen
G'sicht => G'sicht
g'macht => gemachti
mitnander => mit-nander
junge => Jungi
Dame => Damen
lewe => lab
wohl => wohler
gege => geje
junge => Jungi
Dame => Damen
gern => gern
G'heimniss => Gheimnis
Hüs => Huus
alte => Aelterer
halt => halte
ku => kumme
Alter => alter
afange => anfang
g'macht => gemachti
Alte => alter
Jumpfer => Jungfre
wohl => wohler
heiss => häisser
wohr => wohrer
halte => halte
alter => alter
Jumpfer => Jungfre
Unschuld => unschuldi
Jumpfer => Jungfre
rasend => rasend
allei => allei
allei => allei
mitnander => mit-nander
ziemlig => ziemli
lang => langer
halt => halte
wohl => wohler
vergesse => vergasse
allewil => Allewil
schöne => Schön
umbringe => umbrenge
allewil => Allewil
heftig => heftig
meine => meinen
Wil => Wil
gern => gern
Wort => Woorte
Herr => Herr
Patron => ,patron...
Herr => Herr
Herr => Herr
junger => Jungi
Herr => Herr
Patron => ,patron...
Herr => Herr
halt => halte
Herr => Herr
halt => halte
stelle => stella
Herr => Herr
güet => Guten
güet => Guten
gern => gern
Leid => Leid
Herr => Herr
Herr => Herr
Dummheite => Dummheiten
ku => kumme
uf => üf
Herr => Herr
wild => wild
Herr => Herr
Junger => Jungi
Sturm => Sturm
Patron => ,patron...
recht => Rechte
versproche => Verspräche
kumm => kumme
Zit => Zitt’
ku => kumme
sicher => secher
Herr => Herr
verlang => V’rlang
rasend => rasend
Zorn => zornig
Patron => ,patron...
Herr => Herr
Rüeh => riawig
Patron => ,patron...
Herr => Herr
süech => suche
uf => üf
Weg => Weg
schlechter => schlechten
unschuldig => unschuldi
Fir => Fir
Herr => Herr
Simpel => Simbel
stelle => stella
Herr => Herr
bitt => Bitt
Herr => Herr
güet => Guten
allewil => Allewil
mitnander => mit-nander
Herr => Herr
Jumpfer => Jungfre
Morge => Morjen
Herr => Herr
junge => Jungi
